"","id.x","name","pbw_cs","pbw_choice","pbw_choicenumeric","sweight","seq","task","sample","ocean_days","seafood_eat","demoone_gender","demoone_education","demotwo_livedCanada","envr_org","envr_protest","political_party","demothree_income","demothree_householdsize","demothree_age","distance_FSA","distance_FSAc","rec","jobs","jobs2","demothree_age_num"
"879",99910664,"English10664",9,"CarbonStorage",4,1,1,10,"BC","morethan100",36,"male","college","morethan20","no","no","CPC",3,5,"65plus",17319.7923490145,"<100km",2,"none","none",69.5
"881",99910666,"English10666",6,"CoastalLivelihoods",6,1,1,1,"BC","5to9",18,"female","bachelors","morethan20","no","no","green",4,5,"55to64",233084.9027838,"<500km",1,"none","none",59.5
"883",99910666,"English10666",7,"CleanWaters",9,1,1,2,"BC","5to9",18,"female","bachelors","morethan20","no","no","green",4,5,"55to64",233084.9027838,"<500km",1,"none","none",59.5
"885",99910666,"English10666",4,"CoastalProtection",5,1,1,3,"BC","5to9",18,"female","bachelors","morethan20","no","no","green",4,5,"55to64",233084.9027838,"<500km",1,"none","none",59.5
"887",99910666,"English10666",3,"CoastalProtection",5,1,1,4,"BC","5to9",18,"female","bachelors","morethan20","no","no","green",4,5,"55to64",233084.9027838,"<500km",1,"none","none",59.5
"889",99910666,"English10666",10,"CarbonStorage",4,1,1,5,"BC","5to9",18,"female","bachelors","morethan20","no","no","green",4,5,"55to64",233084.9027838,"<500km",1,"none","none",59.5
"891",99910666,"English10666",5,"CoastalProtection",5,1,1,6,"BC","5to9",18,"female","bachelors","morethan20","no","no","green",4,5,"55to64",233084.9027838,"<500km",1,"none","none",59.5
"893",99910666,"English10666",2,"Biodiversity",10,1,1,7,"BC","5to9",18,"female","bachelors","morethan20","no","no","green",4,5,"55to64",233084.9027838,"<500km",1,"none","none",59.5
"895",99910666,"English10666",1,"CoastalProtection",5,1,1,8,"BC","5to9",18,"female","bachelors","morethan20","no","no","green",4,5,"55to64",233084.9027838,"<500km",1,"none","none",59.5
"897",99910666,"English10666",8,"CleanWaters",9,1,1,9,"BC","5to9",18,"female","bachelors","morethan20","no","no","green",4,5,"55to64",233084.9027838,"<500km",1,"none","none",59.5
"899",99910666,"English10666",9,"CarbonStorage",4,1,1,10,"BC","5to9",18,"female","bachelors","morethan20","no","no","green",4,5,"55to64",233084.9027838,"<500km",1,"none","none",59.5
"901",99910667,"English10667",7,"CleanWaters",9,1,1,1,"BC","none",4.5,"male","HS","morethan20","no","no","noresponse",1,2,"65plus",14202.6090860074,"<100km",1,"none","none",69.5
"903",99910667,"English10667",6,"IconicPlacesandSpecies",8,1,1,2,"BC","none",4.5,"male","HS","morethan20","no","no","noresponse",1,2,"65plus",14202.6090860074,"<100km",1,"none","none",69.5
"905",99910667,"English10667",8,"CleanWaters",9,1,1,3,"BC","none",4.5,"male","HS","morethan20","no","no","noresponse",1,2,"65plus",14202.6090860074,"<100km",1,"none","none",69.5
"907",99910667,"English10667",10,"Biodiversity",10,1,1,4,"BC","none",4.5,"male","HS","morethan20","no","no","noresponse",1,2,"65plus",14202.6090860074,"<100km",1,"none","none",69.5
"909",99910667,"English10667",4,"CarbonStorage",4,1,1,5,"BC","none",4.5,"male","HS","morethan20","no","no","noresponse",1,2,"65plus",14202.6090860074,"<100km",1,"none","none",69.5
"911",99910667,"English10667",2,"CleanWaters",9,1,1,6,"BC","none",4.5,"male","HS","morethan20","no","no","noresponse",1,2,"65plus",14202.6090860074,"<100km",1,"none","none",69.5
"913",99910667,"English10667",1,"Biodiversity",10,1,1,7,"BC","none",4.5,"male","HS","morethan20","no","no","noresponse",1,2,"65plus",14202.6090860074,"<100km",1,"none","none",69.5
"915",99910667,"English10667",3,"CarbonStorage",4,1,1,8,"BC","none",4.5,"male","HS","morethan20","no","no","noresponse",1,2,"65plus",14202.6090860074,"<100km",1,"none","none",69.5
"917",99910667,"English10667",9,"CleanWaters",9,1,1,9,"BC","none",4.5,"male","HS","morethan20","no","no","noresponse",1,2,"65plus",14202.6090860074,"<100km",1,"none","none",69.5
"919",99910667,"English10667",5,"CleanWaters",9,1,1,10,"BC","none",4.5,"male","HS","morethan20","no","no","noresponse",1,2,"65plus",14202.6090860074,"<100km",1,"none","none",69.5
"921",99910668,"English10668",9,"CleanWaters",9,1,1,1,"ON","none",36,"female","HS","morethan20","no","yes","noresponse",9,5,"65plus",991409.953120609,">1000km",1,"none","none",69.5
"923",99910668,"English10668",8,"CleanWaters",9,1,1,2,"ON","none",36,"female","HS","morethan20","no","yes","noresponse",9,5,"65plus",991409.953120609,">1000km",1,"none","none",69.5
"925",99910668,"English10668",3,"Biodiversity",10,1,1,3,"ON","none",36,"female","HS","morethan20","no","yes","noresponse",9,5,"65plus",991409.953120609,">1000km",1,"none","none",69.5
"927",99910668,"English10668",7,"CleanWaters",9,1,1,4,"ON","none",36,"female","HS","morethan20","no","yes","noresponse",9,5,"65plus",991409.953120609,">1000km",1,"none","none",69.5
"929",99910668,"English10668",2,"CleanWaters",9,1,1,5,"ON","none",36,"female","HS","morethan20","no","yes","noresponse",9,5,"65plus",991409.953120609,">1000km",1,"none","none",69.5
"931",99910668,"English10668",4,"CoastalLivelihoods",6,1,1,6,"ON","none",36,"female","HS","morethan20","no","yes","noresponse",9,5,"65plus",991409.953120609,">1000km",1,"none","none",69.5
"933",99910668,"English10668",5,"CleanWaters",9,1,1,7,"ON","none",36,"female","HS","morethan20","no","yes","noresponse",9,5,"65plus",991409.953120609,">1000km",1,"none","none",69.5
"935",99910668,"English10668",6,"CoastalLivelihoods",6,1,1,8,"ON","none",36,"female","HS","morethan20","no","yes","noresponse",9,5,"65plus",991409.953120609,">1000km",1,"none","none",69.5
"937",99910668,"English10668",1,"Biodiversity",10,1,1,9,"ON","none",36,"female","HS","morethan20","no","yes","noresponse",9,5,"65plus",991409.953120609,">1000km",1,"none","none",69.5
"939",99910668,"English10668",10,"Biodiversity",10,1,1,10,"ON","none",36,"female","HS","morethan20","no","yes","noresponse",9,5,"65plus",991409.953120609,">1000km",1,"none","none",69.5
"941",99910670,"English10670",4,"CarbonStorage",4,1,1,1,"BC","morethan100",36,"female","bachelors","morethan20","no","no","dontknow",9,6,"45to54",4498.06578731491,"<100km",2,"none","none",49.5
"943",99910670,"English10670",10,"Biodiversity",10,1,1,2,"BC","morethan100",36,"female","bachelors","morethan20","no","no","dontknow",9,6,"45to54",4498.06578731491,"<100km",2,"none","none",49.5
"945",99910670,"English10670",6,"IconicPlacesandSpecies",8,1,1,3,"BC","morethan100",36,"female","bachelors","morethan20","no","no","dontknow",9,6,"45to54",4498.06578731491,"<100km",2,"none","none",49.5
"947",99910670,"English10670",9,"CleanWaters",9,1,1,4,"BC","morethan100",36,"female","bachelors","morethan20","no","no","dontknow",9,6,"45to54",4498.06578731491,"<100km",2,"none","none",49.5
"949",99910670,"English10670",7,"CarbonStorage",4,1,1,5,"BC","morethan100",36,"female","bachelors","morethan20","no","no","dontknow",9,6,"45to54",4498.06578731491,"<100km",2,"none","none",49.5
"951",99910670,"English10670",8,"CleanWaters",9,1,1,6,"BC","morethan100",36,"female","bachelors","morethan20","no","no","dontknow",9,6,"45to54",4498.06578731491,"<100km",2,"none","none",49.5
"953",99910670,"English10670",2,"Foodprovision",1,1,1,7,"BC","morethan100",36,"female","bachelors","morethan20","no","no","dontknow",9,6,"45to54",4498.06578731491,"<100km",2,"none","none",49.5
"955",99910670,"English10670",1,"Foodprovision",1,1,1,8,"BC","morethan100",36,"female","bachelors","morethan20","no","no","dontknow",9,6,"45to54",4498.06578731491,"<100km",2,"none","none",49.5
"957",99910670,"English10670",5,"Biodiversity",10,1,1,9,"BC","morethan100",36,"female","bachelors","morethan20","no","no","dontknow",9,6,"45to54",4498.06578731491,"<100km",2,"none","none",49.5
"959",99910670,"English10670",3,"CarbonStorage",4,1,1,10,"BC","morethan100",36,"female","bachelors","morethan20","no","no","dontknow",9,6,"45to54",4498.06578731491,"<100km",2,"none","none",49.5
"961",99910676,"English10676",7,"CleanWaters",9,1,1,1,"BC","30to49",36,"male","somepost","morethan20","no","no","liberal",4,5,"65plus",10658.8185747635,"<100km",2,"none","none",69.5
"963",99910676,"English10676",6,"CoastalLivelihoods",6,1,1,2,"BC","30to49",36,"male","somepost","morethan20","no","no","liberal",4,5,"65plus",10658.8185747635,"<100km",2,"none","none",69.5
"965",99910676,"English10676",8,"CleanWaters",9,1,1,3,"BC","30to49",36,"male","somepost","morethan20","no","no","liberal",4,5,"65plus",10658.8185747635,"<100km",2,"none","none",69.5
"967",99910676,"English10676",10,"Foodprovision",1,1,1,4,"BC","30to49",36,"male","somepost","morethan20","no","no","liberal",4,5,"65plus",10658.8185747635,"<100km",2,"none","none",69.5
"969",99910676,"English10676",4,"Foodprovision",1,1,1,5,"BC","30to49",36,"male","somepost","morethan20","no","no","liberal",4,5,"65plus",10658.8185747635,"<100km",2,"none","none",69.5
"971",99910676,"English10676",2,"CleanWaters",9,1,1,6,"BC","30to49",36,"male","somepost","morethan20","no","no","liberal",4,5,"65plus",10658.8185747635,"<100km",2,"none","none",69.5
"973",99910676,"English10676",1,"Foodprovision",1,1,1,7,"BC","30to49",36,"male","somepost","morethan20","no","no","liberal",4,5,"65plus",10658.8185747635,"<100km",2,"none","none",69.5
"975",99910676,"English10676",3,"Biodiversity",10,1,1,8,"BC","30to49",36,"male","somepost","morethan20","no","no","liberal",4,5,"65plus",10658.8185747635,"<100km",2,"none","none",69.5
"977",99910676,"English10676",9,"CleanWaters",9,1,1,9,"BC","30to49",36,"male","somepost","morethan20","no","no","liberal",4,5,"65plus",10658.8185747635,"<100km",2,"none","none",69.5
"979",99910676,"English10676",5,"CleanWaters",9,1,1,10,"BC","30to49",36,"male","somepost","morethan20","no","no","liberal",4,5,"65plus",10658.8185747635,"<100km",2,"none","none",69.5
"981",99910677,"English10677",9,"CleanWaters",9,1,1,1,"BC","50to100",36,"male","HS","morethan20","no","no","dontknow",2,3,"55to64",3157.23824346658,"<100km",2,"none","none",59.5
"983",99910677,"English10677",8,"CleanWaters",9,1,1,2,"BC","50to100",36,"male","HS","morethan20","no","no","dontknow",2,3,"55to64",3157.23824346658,"<100km",2,"none","none",59.5
"985",99910677,"English10677",3,"CoastalProtection",5,1,1,3,"BC","50to100",36,"male","HS","morethan20","no","no","dontknow",2,3,"55to64",3157.23824346658,"<100km",2,"none","none",59.5
"987",99910677,"English10677",7,"CleanWaters",9,1,1,4,"BC","50to100",36,"male","HS","morethan20","no","no","dontknow",2,3,"55to64",3157.23824346658,"<100km",2,"none","none",59.5
"989",99910677,"English10677",2,"CleanWaters",9,1,1,5,"BC","50to100",36,"male","HS","morethan20","no","no","dontknow",2,3,"55to64",3157.23824346658,"<100km",2,"none","none",59.5
"991",99910677,"English10677",4,"CoastalProtection",5,1,1,6,"BC","50to100",36,"male","HS","morethan20","no","no","dontknow",2,3,"55to64",3157.23824346658,"<100km",2,"none","none",59.5
"993",99910677,"English10677",5,"CleanWaters",9,1,1,7,"BC","50to100",36,"male","HS","morethan20","no","no","dontknow",2,3,"55to64",3157.23824346658,"<100km",2,"none","none",59.5
"995",99910677,"English10677",6,"IconicPlacesandSpecies",8,1,1,8,"BC","50to100",36,"male","HS","morethan20","no","no","dontknow",2,3,"55to64",3157.23824346658,"<100km",2,"none","none",59.5
"997",99910677,"English10677",1,"CoastalProtection",5,1,1,9,"BC","50to100",36,"male","HS","morethan20","no","no","dontknow",2,3,"55to64",3157.23824346658,"<100km",2,"none","none",59.5
"999",99910677,"English10677",10,"Foodprovision",1,1,1,10,"BC","50to100",36,"male","HS","morethan20","no","no","dontknow",2,3,"55to64",3157.23824346658,"<100km",2,"none","none",59.5
"1001",99910678,"English10678",9,"CleanWaters",9,1,1,1,"PR","none",9,"","graduate","morethan20","no","no","CPC",9,5,"35to44",788278.165704139,">1000km",1,"none","none",39.5
"1003",99910678,"English10678",10,"Biodiversity",10,1,1,2,"PR","none",9,"","graduate","morethan20","no","no","CPC",9,5,"35to44",788278.165704139,">1000km",1,"none","none",39.5
"1005",99910678,"English10678",7,"CleanWaters",9,1,1,3,"PR","none",9,"","graduate","morethan20","no","no","CPC",9,5,"35to44",788278.165704139,">1000km",1,"none","none",39.5
"1007",99910678,"English10678",6,"IconicPlacesandSpecies",8,1,1,4,"PR","none",9,"","graduate","morethan20","no","no","CPC",9,5,"35to44",788278.165704139,">1000km",1,"none","none",39.5
"1009",99910678,"English10678",3,"Biodiversity",10,1,1,5,"PR","none",9,"","graduate","morethan20","no","no","CPC",9,5,"35to44",788278.165704139,">1000km",1,"none","none",39.5
"1011",99910678,"English10678",5,"CleanWaters",9,1,1,6,"PR","none",9,"","graduate","morethan20","no","no","CPC",9,5,"35to44",788278.165704139,">1000km",1,"none","none",39.5
"1013",99910678,"English10678",8,"CleanWaters",9,1,1,7,"PR","none",9,"","graduate","morethan20","no","no","CPC",9,5,"35to44",788278.165704139,">1000km",1,"none","none",39.5
"1015",99910678,"English10678",1,"Biodiversity",10,1,1,8,"PR","none",9,"","graduate","morethan20","no","no","CPC",9,5,"35to44",788278.165704139,">1000km",1,"none","none",39.5
"1017",99910678,"English10678",2,"CleanWaters",9,1,1,9,"PR","none",9,"","graduate","morethan20","no","no","CPC",9,5,"35to44",788278.165704139,">1000km",1,"none","none",39.5
"1019",99910678,"English10678",4,"CoastalProtection",5,1,1,10,"PR","none",9,"","graduate","morethan20","no","no","CPC",9,5,"35to44",788278.165704139,">1000km",1,"none","none",39.5
"1021",99910679,"English10679",4,"CoastalProtection",5,1,1,1,"BC","30to49",1.5,"male","bachelors","morethan20","no","yes","CPC",5,5,"55to64",7929.1029915421,"<100km",1,"none","none",59.5
"1023",99910679,"English10679",10,"Biodiversity",10,1,1,2,"BC","30to49",1.5,"male","bachelors","morethan20","no","yes","CPC",5,5,"55to64",7929.1029915421,"<100km",1,"none","none",59.5
"1025",99910679,"English10679",6,"IconicPlacesandSpecies",8,1,1,3,"BC","30to49",1.5,"male","bachelors","morethan20","no","yes","CPC",5,5,"55to64",7929.1029915421,"<100km",1,"none","none",59.5
"1027",99910679,"English10679",9,"CleanWaters",9,1,1,4,"BC","30to49",1.5,"male","bachelors","morethan20","no","yes","CPC",5,5,"55to64",7929.1029915421,"<100km",1,"none","none",59.5
"1029",99910679,"English10679",7,"CleanWaters",9,1,1,5,"BC","30to49",1.5,"male","bachelors","morethan20","no","yes","CPC",5,5,"55to64",7929.1029915421,"<100km",1,"none","none",59.5
"1031",99910679,"English10679",8,"CleanWaters",9,1,1,6,"BC","30to49",1.5,"male","bachelors","morethan20","no","yes","CPC",5,5,"55to64",7929.1029915421,"<100km",1,"none","none",59.5
"1033",99910679,"English10679",2,"CleanWaters",9,1,1,7,"BC","30to49",1.5,"male","bachelors","morethan20","no","yes","CPC",5,5,"55to64",7929.1029915421,"<100km",1,"none","none",59.5
"1035",99910679,"English10679",1,"CoastalProtection",5,1,1,8,"BC","30to49",1.5,"male","bachelors","morethan20","no","yes","CPC",5,5,"55to64",7929.1029915421,"<100km",1,"none","none",59.5
"1037",99910679,"English10679",5,"CleanWaters",9,1,1,9,"BC","30to49",1.5,"male","bachelors","morethan20","no","yes","CPC",5,5,"55to64",7929.1029915421,"<100km",1,"none","none",59.5
"1039",99910679,"English10679",3,"CoastalProtection",5,1,1,10,"BC","30to49",1.5,"male","bachelors","morethan20","no","yes","CPC",5,5,"55to64",7929.1029915421,"<100km",1,"none","none",59.5
"1041",99910680,"English10680",3,"IconicPlacesandSpecies",8,1,1,1,"MR","dontknow",52,"female","graduate","morethan20","no","no","noparty",9,5,"65plus",13726.0642352948,"<100km",1,"none","none",69.5
"1043",99910680,"English10680",5,"CleanWaters",9,1,1,2,"MR","dontknow",52,"female","graduate","morethan20","no","no","noparty",9,5,"65plus",13726.0642352948,"<100km",1,"none","none",69.5
"1045",99910680,"English10680",8,"IconicPlacesandSpecies",8,1,1,3,"MR","dontknow",52,"female","graduate","morethan20","no","no","noparty",9,5,"65plus",13726.0642352948,"<100km",1,"none","none",69.5
"1047",99910680,"English10680",1,"Foodprovision",1,1,1,4,"MR","dontknow",52,"female","graduate","morethan20","no","no","noparty",9,5,"65plus",13726.0642352948,"<100km",1,"none","none",69.5
"1049",99910680,"English10680",4,"CoastalLivelihoods",6,1,1,5,"MR","dontknow",52,"female","graduate","morethan20","no","no","noparty",9,5,"65plus",13726.0642352948,"<100km",1,"none","none",69.5
"1051",99910680,"English10680",9,"CleanWaters",9,1,1,6,"MR","dontknow",52,"female","graduate","morethan20","no","no","noparty",9,5,"65plus",13726.0642352948,"<100km",1,"none","none",69.5
"1053",99910680,"English10680",10,"CoastalLivelihoods",6,1,1,7,"MR","dontknow",52,"female","graduate","morethan20","no","no","noparty",9,5,"65plus",13726.0642352948,"<100km",1,"none","none",69.5
"1055",99910680,"English10680",7,"IconicPlacesandSpecies",8,1,1,8,"MR","dontknow",52,"female","graduate","morethan20","no","no","noparty",9,5,"65plus",13726.0642352948,"<100km",1,"none","none",69.5
"1057",99910680,"English10680",2,"Foodprovision",1,1,1,9,"MR","dontknow",52,"female","graduate","morethan20","no","no","noparty",9,5,"65plus",13726.0642352948,"<100km",1,"none","none",69.5
"1059",99910680,"English10680",6,"CoastalLivelihoods",6,1,1,10,"MR","dontknow",52,"female","graduate","morethan20","no","no","noparty",9,5,"65plus",13726.0642352948,"<100km",1,"none","none",69.5
"1061",99910682,"English10682",5,"CoastalLivelihoods",6,1,1,1,"ON","none",4.5,"male","college","morethan20","no","no","liberal",3,3,"55to64",628830.135619388,">1000km",1,"none","none",59.5
"1063",99910682,"English10682",4,"Foodprovision",1,1,1,2,"ON","none",4.5,"male","college","morethan20","no","no","liberal",3,3,"55to64",628830.135619388,">1000km",1,"none","none",59.5
"1065",99910682,"English10682",9,"CleanWaters",9,1,1,3,"ON","none",4.5,"male","college","morethan20","no","no","liberal",3,3,"55to64",628830.135619388,">1000km",1,"none","none",59.5
"1067",99910682,"English10682",10,"Foodprovision",1,1,1,4,"ON","none",4.5,"male","college","morethan20","no","no","liberal",3,3,"55to64",628830.135619388,">1000km",1,"none","none",59.5
"1069",99910682,"English10682",6,"CoastalLivelihoods",6,1,1,5,"ON","none",4.5,"male","college","morethan20","no","no","liberal",3,3,"55to64",628830.135619388,">1000km",1,"none","none",59.5
"1071",99910682,"English10682",7,"CleanWaters",9,1,1,6,"ON","none",4.5,"male","college","morethan20","no","no","liberal",3,3,"55to64",628830.135619388,">1000km",1,"none","none",59.5
"1073",99910682,"English10682",1,"Foodprovision",1,1,1,7,"ON","none",4.5,"male","college","morethan20","no","no","liberal",3,3,"55to64",628830.135619388,">1000km",1,"none","none",59.5
"1075",99910682,"English10682",3,"Biodiversity",10,1,1,8,"ON","none",4.5,"male","college","morethan20","no","no","liberal",3,3,"55to64",628830.135619388,">1000km",1,"none","none",59.5
"1077",99910682,"English10682",8,"Foodprovision",1,1,1,9,"ON","none",4.5,"male","college","morethan20","no","no","liberal",3,3,"55to64",628830.135619388,">1000km",1,"none","none",59.5
"1079",99910682,"English10682",2,"Foodprovision",1,1,1,10,"ON","none",4.5,"male","college","morethan20","no","no","liberal",3,3,"55to64",628830.135619388,">1000km",1,"none","none",59.5
"1081",99910684,"English10684",3,"IconicPlacesandSpecies",8,1,1,1,"BC","lessthan5",36,"male","somepost","morethan20","no","no","noresponse",9,6,"",344232.478391276,"<500km",1,"none","none",NA
"1083",99910684,"English10684",9,"CleanWaters",9,1,1,2,"BC","lessthan5",36,"male","somepost","morethan20","no","no","noresponse",9,6,"",344232.478391276,"<500km",1,"none","none",NA
"1085",99910684,"English10684",10,"CarbonStorage",4,1,1,3,"BC","lessthan5",36,"male","somepost","morethan20","no","no","noresponse",9,6,"",344232.478391276,"<500km",1,"none","none",NA
"1087",99910684,"English10684",4,"CarbonStorage",4,1,1,4,"BC","lessthan5",36,"male","somepost","morethan20","no","no","noresponse",9,6,"",344232.478391276,"<500km",1,"none","none",NA
"1089",99910684,"English10684",6,"IconicPlacesandSpecies",8,1,1,5,"BC","lessthan5",36,"male","somepost","morethan20","no","no","noresponse",9,6,"",344232.478391276,"<500km",1,"none","none",NA
"1091",99910684,"English10684",7,"CleanWaters",9,1,1,6,"BC","lessthan5",36,"male","somepost","morethan20","no","no","noresponse",9,6,"",344232.478391276,"<500km",1,"none","none",NA
"1093",99910684,"English10684",5,"CleanWaters",9,1,1,7,"BC","lessthan5",36,"male","somepost","morethan20","no","no","noresponse",9,6,"",344232.478391276,"<500km",1,"none","none",NA
"1095",99910684,"English10684",8,"CleanWaters",9,1,1,8,"BC","lessthan5",36,"male","somepost","morethan20","no","no","noresponse",9,6,"",344232.478391276,"<500km",1,"none","none",NA
"1097",99910684,"English10684",1,"CoastalProtection",5,1,1,9,"BC","lessthan5",36,"male","somepost","morethan20","no","no","noresponse",9,6,"",344232.478391276,"<500km",1,"none","none",NA
"1099",99910684,"English10684",2,"CleanWaters",9,1,1,10,"BC","lessthan5",36,"male","somepost","morethan20","no","no","noresponse",9,6,"",344232.478391276,"<500km",1,"none","none",NA
"1101",99910686,"English10686",10,"TourismandRecreation",7,1,1,1,"BC","10to29",52,"male","bachelors","morethan20","no","no","liberal",4,3,"35to44",443.928288888967,"<100km",1,"none","none",39.5
"1103",99910686,"English10686",4,"CoastalLivelihoods",6,1,1,2,"BC","10to29",52,"male","bachelors","morethan20","no","no","liberal",4,3,"35to44",443.928288888967,"<100km",1,"none","none",39.5
"1105",99910686,"English10686",5,"CoastalLivelihoods",6,1,1,3,"BC","10to29",52,"male","bachelors","morethan20","no","no","liberal",4,3,"35to44",443.928288888967,"<100km",1,"none","none",39.5
"1107",99910686,"English10686",7,"TourismandRecreation",7,1,1,4,"BC","10to29",52,"male","bachelors","morethan20","no","no","liberal",4,3,"35to44",443.928288888967,"<100km",1,"none","none",39.5
"1109",99910686,"English10686",8,"CleanWaters",9,1,1,5,"BC","10to29",52,"male","bachelors","morethan20","no","no","liberal",4,3,"35to44",443.928288888967,"<100km",1,"none","none",39.5
"1111",99910686,"English10686",9,"CleanWaters",9,1,1,6,"BC","10to29",52,"male","bachelors","morethan20","no","no","liberal",4,3,"35to44",443.928288888967,"<100km",1,"none","none",39.5
"1113",99910686,"English10686",3,"CoastalProtection",5,1,1,7,"BC","10to29",52,"male","bachelors","morethan20","no","no","liberal",4,3,"35to44",443.928288888967,"<100km",1,"none","none",39.5
"1115",99910686,"English10686",6,"TourismandRecreation",7,1,1,8,"BC","10to29",52,"male","bachelors","morethan20","no","no","liberal",4,3,"35to44",443.928288888967,"<100km",1,"none","none",39.5
"1117",99910686,"English10686",2,"Foodprovision",1,1,1,9,"BC","10to29",52,"male","bachelors","morethan20","no","no","liberal",4,3,"35to44",443.928288888967,"<100km",1,"none","none",39.5
"1119",99910686,"English10686",1,"CoastalProtection",5,1,1,10,"BC","10to29",52,"male","bachelors","morethan20","no","no","liberal",4,3,"35to44",443.928288888967,"<100km",1,"none","none",39.5
"1121",99910687,"English10687",2,"Foodprovision",1,1,1,1,"BC","5to9",52,"female","college","morethan20","no","yes","CPC",9,5,"65plus",1286.05537357338,"<100km",3,"none","none",69.5
"1123",99910687,"English10687",1,"Foodprovision",1,1,1,2,"BC","5to9",52,"female","college","morethan20","no","yes","CPC",9,5,"65plus",1286.05537357338,"<100km",3,"none","none",69.5
"1125",99910687,"English10687",6,"CoastalLivelihoods",6,1,1,3,"BC","5to9",52,"female","college","morethan20","no","yes","CPC",9,5,"65plus",1286.05537357338,"<100km",3,"none","none",69.5
"1127",99910687,"English10687",9,"CleanWaters",9,1,1,4,"BC","5to9",52,"female","college","morethan20","no","yes","CPC",9,5,"65plus",1286.05537357338,"<100km",3,"none","none",69.5
"1129",99910687,"English10687",7,"CleanWaters",9,1,1,5,"BC","5to9",52,"female","college","morethan20","no","yes","CPC",9,5,"65plus",1286.05537357338,"<100km",3,"none","none",69.5
"1131",99910687,"English10687",4,"Foodprovision",1,1,1,6,"BC","5to9",52,"female","college","morethan20","no","yes","CPC",9,5,"65plus",1286.05537357338,"<100km",3,"none","none",69.5
"1133",99910687,"English10687",5,"CoastalLivelihoods",6,1,1,7,"BC","5to9",52,"female","college","morethan20","no","yes","CPC",9,5,"65plus",1286.05537357338,"<100km",3,"none","none",69.5
"1135",99910687,"English10687",10,"Foodprovision",1,1,1,8,"BC","5to9",52,"female","college","morethan20","no","yes","CPC",9,5,"65plus",1286.05537357338,"<100km",3,"none","none",69.5
"1137",99910687,"English10687",3,"CoastalProtection",5,1,1,9,"BC","5to9",52,"female","college","morethan20","no","yes","CPC",9,5,"65plus",1286.05537357338,"<100km",3,"none","none",69.5
"1139",99910687,"English10687",8,"Foodprovision",1,1,1,10,"BC","5to9",52,"female","college","morethan20","no","yes","CPC",9,5,"65plus",1286.05537357338,"<100km",3,"none","none",69.5
"1141",99910690,"English10690",5,"CoastalLivelihoods",6,1,1,1,"BC","5to9",9,"male","","morethan20","no","no","dontknow",5,5,"55to64",9002.34187690691,"<100km",1,"none","none",59.5
"1143",99910690,"English10690",6,"CoastalLivelihoods",6,1,1,2,"BC","5to9",9,"male","","morethan20","no","no","dontknow",5,5,"55to64",9002.34187690691,"<100km",1,"none","none",59.5
"1145",99910690,"English10690",4,"Foodprovision",1,1,1,3,"BC","5to9",9,"male","","morethan20","no","no","dontknow",5,5,"55to64",9002.34187690691,"<100km",1,"none","none",59.5
"1147",99910690,"English10690",9,"CarbonStorage",4,1,1,4,"BC","5to9",9,"male","","morethan20","no","no","dontknow",5,5,"55to64",9002.34187690691,"<100km",1,"none","none",59.5
"1149",99910690,"English10690",2,"Foodprovision",1,1,1,5,"BC","5to9",9,"male","","morethan20","no","no","dontknow",5,5,"55to64",9002.34187690691,"<100km",1,"none","none",59.5
"1151",99910690,"English10690",10,"Foodprovision",1,1,1,6,"BC","5to9",9,"male","","morethan20","no","no","dontknow",5,5,"55to64",9002.34187690691,"<100km",1,"none","none",59.5
"1153",99910690,"English10690",7,"CarbonStorage",4,1,1,7,"BC","5to9",9,"male","","morethan20","no","no","dontknow",5,5,"55to64",9002.34187690691,"<100km",1,"none","none",59.5
"1155",99910690,"English10690",8,"Foodprovision",1,1,1,8,"BC","5to9",9,"male","","morethan20","no","no","dontknow",5,5,"55to64",9002.34187690691,"<100km",1,"none","none",59.5
"1157",99910690,"English10690",3,"CarbonStorage",4,1,1,9,"BC","5to9",9,"male","","morethan20","no","no","dontknow",5,5,"55to64",9002.34187690691,"<100km",1,"none","none",59.5
"1159",99910690,"English10690",1,"Foodprovision",1,1,1,10,"BC","5to9",9,"male","","morethan20","no","no","dontknow",5,5,"55to64",9002.34187690691,"<100km",1,"none","none",59.5
"1161",99910691,"English10691",1,"Foodprovision",1,1,1,1,"BC","none",4.5,"female","HS","morethan20","no","no","CPC",4,5,"65plus",12833.725372244,"<100km",1,"none","none",69.5
"1163",99910691,"English10691",6,"AboriginalNeeds",2,1,1,2,"BC","none",4.5,"female","HS","morethan20","no","no","CPC",4,5,"65plus",12833.725372244,"<100km",1,"none","none",69.5
"1165",99910691,"English10691",8,"CleanWaters",9,1,1,3,"BC","none",4.5,"female","HS","morethan20","no","no","CPC",4,5,"65plus",12833.725372244,"<100km",1,"none","none",69.5
"1167",99910691,"English10691",10,"Foodprovision",1,1,1,4,"BC","none",4.5,"female","HS","morethan20","no","no","CPC",4,5,"65plus",12833.725372244,"<100km",1,"none","none",69.5
"1169",99910691,"English10691",5,"CleanWaters",9,1,1,5,"BC","none",4.5,"female","HS","morethan20","no","no","CPC",4,5,"65plus",12833.725372244,"<100km",1,"none","none",69.5
"1171",99910691,"English10691",9,"CleanWaters",9,1,1,6,"BC","none",4.5,"female","HS","morethan20","no","no","CPC",4,5,"65plus",12833.725372244,"<100km",1,"none","none",69.5
