"X" "sample" "subsid" "pid" "name" "id" "complete" "user_las" "ip" "date" "time_in" "time_out" "user_bro" "user_set" "user_lan" "user_com" "IMP_Orde" "DCE_pg1" "DCE_leas" "DCE_most" "DCE_pg2" "DCE_leas" "DCE_most" "DCE_pg3" "DCE_leas" "DCE_most" "DCE_pg4" "DCE_leas" "DCE_most" "DCE_pg5" "DCE_leas" "DCE_most" "DCE_pg6" "DCE_leas" "DCE_most" "DCE_pg7" "DCE_leas" "DCE_most" "DCE_pg8" "DCE_leas" "DCE_most" "DCE_pg9" "DCE_leas" "DCE_most" "DCE_pg10" "DCE_leas" "DCE_most" "DCEclick" "DCEclick" "DCEclick" "DCEclick" "DCEclick" "DCEclick" "DCEclick" "DCEclick" "DCEclick" "DCEclick" "ocean_da" "rec_swim" "rec_boat" "rec_surf" "rec_scub" "rec_powe" "rec_recf" "rec_sigh" "rec_none" "rec_othe" "rec_spec" "jobs_com" "jobs_aqu" "jobs_fir" "jobs_tou" "jobs_tra" "jobs_por" "jobs_gov" "jobs_non" "jobs_oth" "jobs_spe" "seafood_" "foodprov" "foodprov" "aborigin" "aborigin" "nonfood_" "nonfood_" "carbonst" "carbonst" "coastalp" "coastalp" "coastall" "coastall" "tourismr" "tourismr" "icons_ge" "icons_xx" "cleanwat" "cleanwat" "biodiver" "biodiver" "demoone_" "demoone_" "demotwo_" "demotwo_" "envr_org" "envr_pro" "politica" "demothre" "demothre" "demothre" "comments"
"331" 445 "BC subsample" 410189144 "" "English467" 467 "y" "hco_thankyou.php" "" "19/03/2014" "22:43:05" "22:50:19" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.59.10 (KHTML, like Gecko) Version/5.1.9 Safari/534.59.10" "11" "English" 2452 54321 8 3 1 4 2 1 3 3 10 1 3 1 2 2 1 7 7 9 5 2 9 6 3 8 10 7 1 9 3 9 "" "" "" "" "" "" "" "" "" "" "5to9" "" "" "" "" "1" "" "" "" "1" "cruise ship" "" "" "" "" "" "" "" "1" "" "" "atleast1wk" "5" "" "3" "" "3" "" "5" "" "5" "" "4" "" "4" "" "5" "" "5" "" "5" "" "female" "somepost" "morethan20" "V1W" "no" "no" "liberal" "9" "2" "65plus" "I think it is very important that we put restrictions in place regarding our oceans. I lived in Thailand and saw how they caught and ate everything. Soon there will be nothing left if we don't take control"
"332" 446 "BC subsample" 410123739 "" "English468" 468 "y" "hco_thankyou.php" "" "19/03/2014" "22:43:36" "23:04:41" "Mozilla/5.0 (Windows NT 6.1; rv:27.0) Gecko/20100101 Firefox/27.0 SeaMonkey/2.24" "11" "English" 2453 12345 10 1 7 9 3 7 1 3 7 5 10 5 6 3 7 2 1 8 8 3 6 7 5 7 3 3 8 4 1 6 "checked" "checked" "checked" "checked" "checked" "checked" "checked" "checked" "checked" "checked" "morethan100" "1" "1" "" "" "1" "1" "1" "" "" "" "" "" "" "1" "" "" "" "" "" "" "3month" "5" "" "2" "" "3" "" "5" "" "5" "" "4" "" "5" "" "5" "" "5" "" "5" "" "" "HS" "morethan20" "v9m" "no" "no" "noparty" "4" "4" "55to64" ""
"333" 448 "BC subsample" 410097665 "" "English470" 470 "y" "hco_thankyou.php" "" "19/03/2014" "22:48:46" "22:54:19" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)" "11" "English" 2455 12345 4 1 4 7 8 5 1 10 5 5 6 9 2 2 9 8 6 9 10 7 1 9 2 3 6 2 7 3 5 3 "" "" "" "" "" "" "" "" "" "" "none" "" "" "" "" "" "" "1" "" "" "" "" "" "" "" "" "" "" "1" "" "" "1to2yr" "2" "" "1" "" "2" "" "3" "" "2" "" "2" "" "2" "" "2" "" "2" "" "2" "" "noresponse" "bachelors" "morethan20" "v5w" "no" "no" "noresponse" "9" "2" "25to34" ""
"334" 450 "BC subsample" 410118804 "" "English472" 472 "y" "hco_thankyou.php" "" "19/03/2014" "22:55:49" "23:03:06" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "11" "English" 2457 12345 5 2 9 3 3 5 9 2 9 8 3 9 4 2 5 1 3 5 7 4 9 2 2 9 10 4 1 6 2 6 "" "" "" "" "" "" "" "" "" "" "dontknow" "" "" "" "" "" "" "" "1" "" "" "" "" "" "" "" "" "" "1" "" "" "3month" "5" "" "2" "" "4" "" "4" "" "5" "" "5" "" "5" "" "5" "" "" "" "5" "" "male" "HS" "morethan20" "v2r" "no" "no" "CPC" "3" "2" "65plus" ""
"335" 451 "BC subsample" 410112330 "" "English473" 473 "y" "hco_thankyou.php" "" "19/03/2014" "22:57:16" "23:10:36" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.73.11 (KHTML, like Gecko) Version/7.0.1 Safari/537.73.11" "11" "English" 2458 54321 3 10 4 7 8 7 4 6 4 6 3 6 2 8 2 5 9 6 10 1 10 9 2 3 8 6 8 1 7 1 "" "" "" "" "" "" "" "" "" "" "30to49" "1" "" "1" "1" "1" "" "" "" "" "" "1" "1" "1" "1" "1" "1" "" "" "" "" "3to6yr" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "female" "HS" "morethan20" "v1w" "no" "yes" "Bloc" "5" "2" "20to24" "dhhdh"
"336" 452 "BC subsample" 410023317 "" "English474" 474 "y" "hco_thankyou.php" "" "19/03/2014" "22:58:49" "23:09:24" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)" "11" "English" 2459 12345 7 7 9 2 2 1 6 2 6 8 3 9 5 2 9 4 2 4 1 3 1 10 7 1 3 3 8 9 2 9 "" "" "" "" "" "" "" "" "checked" "" "5to9" "" "1" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "3month" "5" "" "3" "" "4" "" "5" "" "5" "" "3" "" "4" "" "5" "" "5" "" "5" "" "male" "somepost" "morethan20" "V2A" "no" "no" "noparty" "4" "2" "55to64" ""
"337" 453 "BC subsample" 410330580 "" "English475" 475 "y" "hco_thankyou.php" "" "19/03/2014" "23:02:37" "23:10:17" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0; MASBJS)" "11" "English" 2460 54321 2 1 9 8 3 6 9 3 9 3 3 5 5 10 9 6 3 6 4 1 6 7 7 9 10 7 1 1 3 5 "" "" "" "" "" "" "" "" "" "" "none" "" "" "" "" "" "" "" "1" "" "" "" "" "" "" "" "" "" "" "" "" "7to11yr" "5" "" "5" "" "1" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "female" "HS" "morethan20" "V3W" "no" "no" "CPC" "9" "1" "65plus" ""
"338" 456 "BC subsample" 410219707 "" "English478" 478 "y" "hco_thankyou.php" "" "19/03/2014" "23:07:12" "23:16:09" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "11" "English" 2463 12345 1 3 1 10 4 1 5 2 9 8 3 1 6 3 6 3 3 8 4 2 6 9 3 7 2 2 1 7 7 8 "" "" "" "" "" "" "" "" "" "" "lessthan5" "" "" "" "" "1" "1" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "3month" "4" "" "3" "" "3" "" "4" "" "4" "" "5" "" "5" "" "5" "" "5" "" "5" "" "male" "somepost" "morethan20" "v4r" "no" "no" "noparty" "4" "2" "65plus" ""
"339" 457 "BC subsample" 410285308 "" "English479" 479 "y" "hco_thankyou.php" "" "19/03/2014" "23:07:28" "23:17:21" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "11" "English" 2464 54321 2 2 9 6 2 6 1 3 1 8 3 9 9 2 9 4 2 5 10 7 6 3 3 5 5 2 6 7 7 9 "" "" "" "" "" "" "" "" "" "" "5to9" "" "" "" "1" "" "" "1" "" "" "walk along the sea wall" "" "" "" "" "" "" "" "1" "" "" "3month" "5" "" "3" "" "3" "" "5" "" "5" "" "4" "" "5" "" "4" "" "5" "" "4" "" "male" "somepost" "morethan20" "V1Y" "no" "no" "green" "4" "1" "55to64" "I would like to see politicians take this type of survey serious as it is the wish of the people"
"340" 461 "BC subsample" 410294777 "" "English483" 483 "y" "hco_thankyou.php" "" "24/03/2014" "16:00:54" "16:08:51" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)" "11" "English" 2468 54321 2 1 10 8 3 9 9 7 4 3 3 10 4 1 5 7 7 9 5 2 10 1 7 10 6 3 8 10 7 4 "" "" "" "" "" "" "" "" "" "" "10to29" "1" "1" "1" "" "1" "" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "atleast1wk" "5" "" "3" "" "4" "" "5" "" "5" "" "4" "" "4" "" "5" "" "5" "" "5" "" "female" "bachelors" "morethan20" "V3M" "no" "no" "noresponse" "9" "4" "20to24" ""
"341" 462 "BC subsample" 410337180 "" "English484" 484 "y" "hco_thankyou.php" "" "24/03/2014" "17:54:47" "18:23:55" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36" "11" "English" 2469 12345 9 3 9 7 7 9 1 7 5 8 3 9 6 7 6 2 1 9 5 6 9 10 7 10 4 4 1 3 4 10 "" "" "" "" "" "" "" "" "" "" "dontknow" "" "" "" "" "" "" "" "1" "" "" "" "" "" "" "" "" "" "1" "" "" "1to2yr" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "noresponse" "college" "morethan20" "V0G" "no" "no" "noparty" "2" "2" "55to64" "I wish it was someone who really cared about all aspects of our oceans that was in charge of all decision making. If that is too much power for one person then make it so everyone who is a life long resident, of the Provinces who border our oceans, vote on all decisions that affect our oceans and surrounding lands."
"342" 464 "BC subsample" 410316455 "" "English486" 486 "y" "hco_thankyou.php" "" "24/03/2014" "19:53:11" "20:09:14" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36" "11" "English" 2471 12345 7 5 9 8 3 9 4 2 5 9 2 9 10 4 10 1 3 10 6 2 6 3 3 10 2 2 9 5 2 9 "" "" "" "" "" "" "" "" "" "" "50to100" "" "" "" "" "" "" "" "1" "" "" "" "" "" "" "" "" "" "1" "" "" "atleast1wk" "4" "" "3" "" "4" "" "5" "" "4" "" "4" "" "4" "" "4" "" "5" "" "4" "" "male" "bachelors" "morethan20" "v3c" "no" "no" "noresponse" "9" "2" "65plus" ""
"343" 465 "BC subsample" 410112910 "" "English487" 487 "y" "hco_thankyou.php" "" "24/03/2014" "22:42:17" "22:49:19" "Mozilla/5.0 (Windows NT 6.3; Win64; x64; Trident/7.0; MAARJS; rv:11.0) like Gecko" "11" "English" 2472 54321 1 3 5 9 2 9 6 2 6 8 3 9 7 8 9 4 2 4 10 7 4 3 3 10 2 2 9 5 2 9 "" "" "" "" "" "" "" "checked" "" "" "5to9" "1" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "atleast1wk" "5" "" "2" "" "4" "" "5" "" "5" "" "3" "" "4" "" "5" "" "5" "" "5" "" "male" "HS" "morethan20" "V7L" "no" "no" "CPC" "8" "4" "55to64" ""
"344" 467 "BC subsample" 410286621 "" "English489" 489 "y" "hco_thankyou.php" "" "25/03/2014" "0:06:32" "0:17:06" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; NP09; NP09; MAAU; rv:11.0) like Gecko" "11" "English" 2474 54321 4 2 1 3 3 5 7 7 9 10 7 1 9 3 9 6 2 6 2 2 1 8 3 1 5 2 6 1 3 1 "" "" "" "" "" "" "" "" "" "" "none" "" "" "" "" "" "" "" "1" "" "" "" "" "" "" "" "" "" "1" "" "" "atleast1wk" "5" "" "4" "" "4" "" "4" "" "4" "" "5" "" "4" "" "4" "" "4" "" "4" "" "female" "somepost" "morethan20" "V1G" "no" "no" "dontknow" "3" "2" "55to64" ""
"345" 468 "BC subsample" 410204820 "" "English490" 490 "y" "hco_thankyou.php" "" "25/03/2014" "0:26:38" "0:34:51" "Mozilla/5.0 (iPad; CPU OS 7_1 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D167 Safari/9537.53" "11" "English" 2475 12345 2 2 1 7 7 4 4 2 1 3 5 4 6 7 8 10 7 1 9 7 4 8 6 1 5 2 9 1 7 1 "" "" "" "" "" "" "" "" "" "" "lessthan5" "" "" "" "" "" "" "" "1" "" "" "" "" "" "" "" "" "" "1" "" "" "3month" "5" "" "3" "" "5" "" "5" "" "5" "" "5" "" "3" "" "5" "" "5" "" "5" "" "female" "somepost" "morethan20" "V4T" "no" "no" "CPC" "4" "1" "55to64" ""
"346" 472 "BC subsample" 410215374 "" "English494" 494 "y" "hco_thankyou.php" "" "25/03/2014" "17:52:35" "18:09:57" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "11" "English" 2479 12345 5 2 5 1 3 5 2 2 10 6 2 8 7 4 5 10 4 10 8 3 9 4 2 5 9 2 9 3 4 5 "" "" "" "" "" "" "" "" "" "" "50to100" "1" "" "" "1" "1" "" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "1to2month" "4" "" "3" "" "4" "" "3" "" "5" "" "4" "" "4" "" "4" "" "5" "" "5" "" "male" "college" "morethan20" "V7A" "no" "no" "dontknow" "9" "1" "55to64" ""
"347" 473 "BC subsample" 410162618 "" "English495" 495 "y" "hco_thankyou.php" "" "25/03/2014" "18:13:39" "18:29:18" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)" "11" "English" 2480 54321 2 2 9 10 7 1 4 2 4 3 8 4 5 2 9 1 7 1 9 2 9 6 7 6 8 8 9 7 7 9 "" "" "" "checked" "" "" "" "checked" "" "checked" "none" "1" "1" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "1to2month" "4" "" "3" "" "4" "" "4" "" "4" "" "5" "" "4" "" "5" "" "5" "" "5" "" "female" "HS" "morethan20" "V2A" "no" "no" "dontknow" "3" "2" "55to64" ""
"348" 475 "BC subsample" 410290282 "" "English497" 497 "y" "hco_thankyou.php" "" "26/03/2014" "4:23:28" "4:39:29" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0; VER#YC#80837570816745484869484853; MATBJS)" "11" "English" 2482 54321 8 3 9 1 3 5 5 2 9 9 2 9 6 2 6 2 2 9 4 2 5 10 7 10 7 7 9 3 3 5 "" "" "" "" "" "" "" "" "" "" "lessthan5" "" "" "" "" "" "" "" "1" "" "" "" "" "" "" "" "" "" "1" "" "" "1to2month" "3" "" "3" "" "3" "" "4" "" "4" "" "3" "" "3" "" "4" "" "4" "" "4" "" "male" "HS" "morethan20" "" "no" "no" "noparty" "4" "1" "35to44" ""
"349" 477 "BC subsample" 410323752 "" "English499" 499 "y" "hco_thankyou.php" "" "26/03/2014" "4:52:19" "5:03:53" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0" "11" "English" 2484 54321 2 2 9 7 7 9 4 2 5 3 3 5 6 7 6 10 7 4 9 7 9 8 3 9 5 2 9 1 7 5 "" "" "" "" "" "" "" "" "" "" "50to100" "" "" "" "" "" "" "1" "" "" "" "" "" "" "" "" "" "" "1" "" "" "atleast1wk" "5" "" "3" "" "3" "" "4" "" "5" "" "4" "" "2" "" "4" "" "5" "" "4" "" "male" "bachelors" "morethan20" "V4P" "no" "yes" "CPC" "9" "2" "65plus" ""
"350" 481 "BC subsample" 410198583 "" "English503" 503 "y" "hco_thankyou.php" "" "27/03/2014" "20:32:02" "20:40:02" "Mozilla/5.0 (Windows NT 6.1; rv:29.0) Gecko/20100101 Firefox/29.0" "11" "English" 2488 54321 5 2 6 1 7 1 2 2 1 6 2 6 7 7 9 10 7 1 8 3 6 4 2 1 9 2 9 3 4 5 "" "" "" "" "" "" "" "" "" "" "morethan100" "" "" "" "" "" "" "" "1" "" "" "" "" "" "" "" "" "" "1" "" "" "3month" "5" "" "3" "" "3" "" "3" "" "4" "" "4" "" "4" "" "4" "" "5" "" "5" "" "male" "college" "morethan20" "V8L" "no" "no" "CPC" "3" "2" "65plus" ""
"351" 482 "BC subsample" 410313155 "" "English504" 504 "y" "hco_thankyou.php" "" "27/03/2014" "20:32:06" "20:43:19" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; MALC)" "11" "English" 2489 12345 2 2 9 10 10 6 4 2 6 3 10 8 5 2 6 1 10 1 9 2 9 6 2 6 8 3 8 7 7 8 "" "" "" "" "" "" "" "" "" "" "lessthan5" "1" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "3to6yr" "4" "" "1" "" "5" "" "5" "" "4" "" "4" "" "5" "" "5" "" "5" "" "5" "" "female" "college" "morethan20" "v3g" "no" "no" "CPC" "6" "4" "25to34" ""
"352" 483 "BC subsample" 410227067 "" "English505" 505 "y" "hco_thankyou.php" "" "27/03/2014" "20:32:35" "20:41:48" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "11" "English" 2490 54321 10 7 10 4 4 6 8 3 9 2 8 1 1 3 1 9 3 9 5 2 10 6 3 6 7 7 9 3 3 10 "" "" "" "" "" "" "" "" "" "" "10to29" "" "" "" "" "" "" "" "1" "" "" "" "" "" "" "" "" "" "1" "" "" "atleast1wk" "4" "" "3" "" "3" "" "4" "" "4" "" "4" "" "4" "" "4" "" "4" "" "4" "" "male" "somepost" "morethan20" "V3J" "no" "no" "liberal" "4" "2" "65plus" ""
"353" 484 "BC subsample" 410001561 "" "English506" 506 "y" "hco_thankyou.php" "" "27/03/2014" "20:34:35" "20:42:36" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; BOIE9;ENCA)" "11" "English" 2491 12345 4 2 1 10 4 1 3 3 5 2 2 9 6 2 6 7 7 5 5 2 5 1 3 1 8 3 1 9 2 9 "" "" "" "" "" "" "" "" "" "" "none" "" "" "" "" "" "" "" "1" "" "" "" "" "" "" "" "" "" "1" "" "" "atleast1wk" "5" "" "2" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "male" "somepost" "morethan20" "V4T" "no" "no" "green" "3" "" "65plus" ""
"354" 485 "BC subsample" 410327558 "" "English507" 507 "y" "hco_thankyou.php" "" "27/03/2014" "20:38:32" "20:43:50" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/17.0 Firefox/17.0" "11" "English" 2492 54321 5 6 2 6 6 2 8 3 1 10 4 1 4 4 2 7 4 8 2 1 2 1 3 10 3 3 10 9 4 2 "" "" "" "" "" "" "" "" "" "" "50to100" "" "" "" "" "" "" "1" "" "" "" "" "" "" "" "" "" "" "1" "" "" "1to2month" "5" "" "5" "" "4" "" "3" "" "5" "" "5" "" "4" "" "5" "" "5" "" "5" "" "male" "graduate" "morethan20" "V9T" "yes" "no" "noresponse" "7" "3" "55to64" ""
"355" 486 "BC subsample" 410329936 "" "English508" 508 "y" "hco_thankyou.php" "" "27/03/2014" "20:38:57" "20:51:08" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_6 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B651 Safari/9537.53" "11" "English" 2493 12345 5 2 6 7 7 9 6 3 6 9 7 9 8 3 1 3 3 5 2 8 9 10 7 4 1 7 5 4 4 5 "" "" "" "" "" "" "" "" "" "" "50to100" "1" "" "" "" "1" "" "" "" "" "" "" "" "1" "" "" "" "" "" "" "" "7to11yr" "5" "" "5" "" "3" "" "5" "" "5" "" "5" "" "4" "" "5" "" "5" "" "5" "" "female" "somepost" "morethan20" "V1T" "no" "no" "CPC" "2" "4" "25to34" ""
"356" 487 "BC subsample" 410305108 "" "English509" 509 "y" "hco_thankyou.php" "" "27/03/2014" "20:39:04" "20:44:26" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0" "11" "English" 2494 54321 2 8 1 8 3 9 10 7 1 9 3 9 5 2 9 6 8 6 7 7 9 3 3 5 1 3 1 4 2 1 "" "" "" "" "" "" "" "" "" "" "30to49" "1" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "atleast1wk" "5" "" "4" "" "2" "" "3" "" "4" "" "4" "" "3" "" "4" "" "5" "" "5" "" "female" "bachelors" "morethan20" "V5R" "yes" "yes" "NDP" "5" "1" "25to34" "It's New Democratic Party, not National Democratic Party on the political question. Just FYI."
"357" 488 "BC subsample" 410351004 "" "English510" 510 "y" "hco_thankyou.php" "" "27/03/2014" "20:40:45" "20:49:09" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_4_11; en) AppleWebKit/533.19.4 (KHTML, like Gecko) Version/4.1.3 Safari/533.19.4" "11" "English" 2495 12345 10 7 10 4 2 4 8 3 8 3 3 10 9 3 9 2 2 9 5 2 9 1 3 10 7 7 9 6 3 8 "" "" "" "" "" "" "" "" "" "" "5to9" "1" "1" "" "" "" "" "1" "" "" "" "" "" "" "" "" "" "" "1" "" "" "atleast1wk" "5" "" "4" "" "4" "" "5" "" "5" "" "4" "" "4" "" "5" "" "5" "" "5" "" "female" "bachelors" "morethan20" "V1T" "no" "yes" "green" "9" "2" "55to64" ""
"358" 489 "BC subsample" 410328791 "" "English511" 511 "y" "hco_thankyou.php" "" "27/03/2014" "20:41:04" "20:50:03" "Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; MAARJS; rv:11.0) like Gecko" "11" "English" 2496 54321 8 3 9 1 3 5 2 1 9 6 3 6 9 3 9 4 1 5 7 8 9 5 2 9 10 7 10 3 3 5 "" "" "" "" "" "" "" "" "" "" "morethan100" "" "" "" "" "" "" "" "1" "" "" "" "" "" "" "" "" "" "1" "" "" "1to2month" "4" "" "3" "" "2" "" "4" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "female" "HS" "morethan20" "V8J" "no" "no" "noresponse" "9" "2" "45to54" ""
"359" 490 "BC subsample" 410257973 "" "English512" 512 "y" "hco_thankyou.php" "" "27/03/2014" "20:44:29" "20:57:31" "Mozilla/5.0 (iPad; CPU OS 7_0_6 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B651 Safari/9537.53" "11" "English" 2497 12345 3 3 5 4 6 1 1 7 1 10 7 1 7 7 9 2 2 9 9 2 9 8 6 9 5 2 9 6 6 8 "" "" "" "" "" "" "" "" "" "" "10to29" "1" "" "" "" "1" "" "1" "" "" "" "" "" "" "" "" "" "" "1" "" "" "atleast1wk" "5" "" "3" "" "5" "" "3" "" "5" "" "4" "" "3" "" "4" "" "5" "" "4" "" "female" "bachelors" "6to10" "J8X" "no" "no" "dontknow" "4" "3" "25to34" ""
"360" 491 "BC subsample" 410326792 "" "English513" 513 "y" "hco_thankyou.php" "" "27/03/2014" "20:45:29" "20:55:46" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)" "11" "English" 2498 54321 4 2 5 3 3 8 5 2 9 7 7 9 1 7 5 9 7 9 8 3 9 10 7 4 6 7 8 2 2 9 "" "" "" "" "" "" "" "" "" "" "none" "" "" "" "" "" "" "" "1" "" "" "" "" "" "" "" "" "" "1" "" "" "Never" "3" "" "3" "" "3" "" "4" "" "5" "" "4" "" "4" "" "4" "" "5" "" "5" "" "female" "HS" "morethan20" "v6x" "no" "no" "noparty" "4" "2" "55to64" ""
"361" 492 "BC subsample" 410254889 "" "English514" 514 "y" "hco_thankyou.php" "" "27/03/2014" "20:47:00" "20:53:56" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0" "11" "English" 2499 12345 6 3 8 5 2 9 10 7 10 4 2 4 9 3 4 1 3 10 2 2 9 3 3 4 7 7 9 8 3 9 "" "" "" "" "" "" "" "" "" "" "10to29" "1" "" "" "" "" "" "1" "" "" "" "" "" "" "" "" "" "" "1" "" "" "3month" "5" "" "4" "" "3" "" "5" "" "5" "" "5" "" "4" "" "4" "" "5" "" "5" "" "female" "graduate" "morethan20" "v8g" "no" "yes" "green" "6" "2" "25to34" ""
"362" 493 "BC subsample" 410348842 "" "English515" 515 "y" "hco_thankyou.php" "" "27/03/2014" "20:48:11" "21:00:02" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:27.0) Gecko/20100101 Firefox/27.0" "11" "English" 2500 54321 2 1 9 1 1 3 9 3 9 5 6 9 6 2 8 7 7 9 4 1 5 3 3 8 10 1 7 8 3 9 "" "" "" "" "" "" "" "" "" "" "lessthan5" "1" "" "" "1" "" "" "1" "" "1" "parasailing" "" "" "" "" "" "" "" "1" "" "" "Never" "3" "" "4" "" "4" "" "3" "" "4" "" "3" "" "3" "" "4" "" "5" "" "4" "" "female" "college" "morethan20" "V3C" "no" "no" "NDP" "6" "2" "25to34" ""
"363" 494 "BC subsample" 410348899 "" "English516" 516 "y" "hco_thankyou.php" "" "27/03/2014" "20:48:40" "20:54:33" "Mozilla/5.0 (iPad; CPU OS 7_1 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D167 Safari/9537.53" "11" "English" 2501 12345 8 3 1 2 2 9 1 3 5 3 3 5 7 8 9 10 7 1 5 2 9 4 2 5 9 3 9 6 2 7 "" "" "" "" "" "" "" "" "" "" "lessthan5" "" "" "" "" "" "" "" "1" "" "" "" "" "" "" "" "" "" "1" "" "" "3month" "4" "" "2" "" "1" "" "3" "" "4" "" "3" "" "3" "" "3" "" "4" "" "4" "" "female" "college" "morethan20" "V0J" "no" "no" "CPC" "5" "4" "25to34" ""
"364" 495 "BC subsample" 410348452 "" "English517" 517 "y" "hco_thankyou.php" "" "27/03/2014" "20:49:55" "20:57:44" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; .NET CLR 3.0.04506.648; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)" "11" "English" 2502 54321 9 2 9 6 2 8 7 7 9 2 2 9 8 3 9 1 7 5 10 7 6 4 2 5 3 3 5 5 2 9 "" "" "checked" "" "" "" "" "" "" "" "morethan100" "" "" "" "" "" "" "" "1" "" "" "" "" "" "" "" "" "" "1" "" "" "3month" "5" "" "3" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "female" "college" "morethan20" "v5w" "dontknow" "no" "noresponse" "2" "2" "25to34" ""
