"","sample","subsid","pid","name","id","completed","user_last_section","ip","date","time_in","time_out","user_browser","user_setid_dce1","user_language","user_combo","IMP_Order","DCE_pg1","DCE_least1","DCE_most1","DCE_pg2","DCE_least2","DCE_most2","DCE_pg3","DCE_least3","DCE_most3","DCE_pg4","DCE_least4","DCE_most4","DCE_pg5","DCE_least5","DCE_most5","DCE_pg6","DCE_least6","DCE_most6","DCE_pg7","DCE_least7","DCE_most7","DCE_pg8","DCE_least8","DCE_most8","DCE_pg9","DCE_least9","DCE_most9","DCE_pg10","DCE_least10","DCE_most10","DCEclick_1","DCEclick_2","DCEclick_3","DCEclick_4","DCEclick_5","DCEclick_6","DCEclick_7","DCEclick_8","DCEclick_9","DCEclick_10","ocean_days","rec_swim","rec_boat","rec_surf","rec_scuba","rec_powerboat","rec_recfish","rec_sightsee","rec_none","rec_other","rec_specify","jobs_comfish","jobs_aquaculture","jobs_firstnations","jobs_tourism","jobs_transport","jobs_port","jobs_govt","jobs_none","jobs_other","jobs_specify","seafood_eat","foodprovision_general","foodprovision_xx","aboriginalneeds_general","aboriginalneeds_xx","nonfood_general","nonfood_xx","carbonstorage_general","carbonstorage_xx","coastalprotection_general","coastalprotection_xx","coastallivelihood_general","coastallivelihood_xx","tourismrec_general","tourismrec_xx","icons_general","icons_xx","cleanwater_general","cleanwater_xx","biodiversity_general","biodiversity_xx","demoone_gender","demoone_education","demotwo_livedCanada","demotwo_fsa","envr_org","envr_protest","political_party","demothree_income","demothree_householdsize","demothree_age","comments"
"128","QC",410144241,NA,"FRENCH10686",10686,"y","hco_thankyou.php",NA,"18/03/2014","20:20:07","20:29:10","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",11,"FRENCH",1134,12345,2,2,8,3,3,8,7,7,9,8,3,6,5,2,6,4,2,6,6,2,6,1,7,10,9,7,9,10,7,6,"","","","","","","","","","","none",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",4,NA,3,NA,3,NA,3,NA,4,NA,5,NA,2,NA,3,NA,3,NA,3,NA,"male","bachelors","morethan20","J3E","dontknow","no","NDP",6,3,"35to44",""
"129","QC",410142345,NA,"FRENCH10687",10687,"y","hco_thankyou.php",NA,"18/03/2014","20:21:40","20:27:55","Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)",11,"FRENCH",1135,54321,3,8,4,10,7,4,1,7,10,6,8,6,4,2,4,2,8,9,5,2,9,9,3,9,8,3,9,7,8,9,"","","","","","","","","","","none",1,NA,NA,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,"female","somepost","morethan20","H1C","no","no","dontknow",6,5,"25to34","Pas de commentaires."
"130","QC",410040059,NA,"FRENCH10688",10688,"y","hco_thankyou.php",NA,"18/03/2014","20:21:49","20:29:32","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1883.0 Safari/537.36",11,"FRENCH",1136,12345,10,7,10,4,6,1,8,6,9,1,7,10,6,7,6,7,7,9,3,3,10,2,8,9,5,6,9,9,7,9,"","","","","","","","","","","5to9",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,4,NA,5,NA,5,NA,5,NA,"male","college","morethan20","H1G","no","no","NDP",3,2,"35to44",""
"131","QC",410088342,NA,"FRENCH10689",10689,"y","hco_thankyou.php",NA,"18/03/2014","20:23:33","20:33:14","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",11,"FRENCH",1137,54321,5,6,10,6,8,2,8,8,1,10,7,10,4,4,1,7,8,5,2,8,1,1,7,5,3,8,10,9,7,2,"","","","","","","","","","","5to9",NA,NA,NA,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,1,NA,NA,NA,NA,"","atleast1wk",5,NA,4,NA,5,NA,5,NA,5,NA,4,NA,3,NA,5,NA,5,NA,5,NA,"male","bachelors","morethan20","h7n","no","no","NDP",6,2,"45to54",""
"132","QC",410040995,NA,"FRENCH10690",10690,"y","hco_thankyou.php",NA,"18/03/2014","20:23:43","20:32:28","Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)",11,"FRENCH",1138,12345,4,6,5,6,7,2,5,6,5,9,7,2,8,3,1,3,3,5,7,7,5,2,8,2,10,7,1,1,7,5,"","","","","","","","","","","none",NA,NA,NA,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",4,NA,5,NA,4,NA,4,NA,5,NA,4,NA,4,NA,4,NA,5,NA,5,NA,"male","bachelors","morethan20","h7x","no","no","liberal",5,2,"35to44",""
"133","QC",410020140,NA,"FRENCH10691",10691,"y","hco_thankyou.php",NA,"18/03/2014","20:24:51","20:33:49","Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",11,"FRENCH",1139,54321,6,7,8,5,2,9,10,7,10,1,7,10,7,7,9,2,2,9,4,2,5,8,3,9,9,3,9,3,3,10,"checked","","checked","","","","","","","","none",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",4,NA,4,NA,4,NA,4,NA,5,NA,3,NA,3,NA,5,NA,5,NA,5,NA,"female","bachelors","morethan20","J8T","no","no","NDP",4,1,"25to34",""
"134","QC",410152656,NA,"FRENCH10692",10692,"y","hco_thankyou.php",NA,"18/03/2014","20:26:19","20:31:28","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; SLCC1; .NET4.0C; .NET4.0E)",11,"FRENCH",1140,12345,6,2,7,5,2,9,8,3,9,9,2,9,10,10,4,3,5,4,4,2,4,1,3,7,2,2,9,7,9,7,"","","","","","","","","","","5to9",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",3,NA,1,NA,2,NA,3,NA,3,NA,2,NA,3,NA,3,NA,3,NA,3,NA,"female","bachelors","morethan20","g1x","no","no","noresponse",9,1,"25to34",""
"135","QC",410180420,NA,"FRENCH10693",10693,"y","hco_thankyou.php",NA,"18/03/2014","20:27:33","20:41:33","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; MAMI; rv:11.0) like Gecko",11,"FRENCH",1141,54321,10,10,1,5,10,9,2,10,1,4,6,1,3,10,8,9,3,9,7,5,9,8,3,1,1,3,5,6,3,8,"","","","","","","","","","","none",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3to6yr",4,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,"female","HS","morethan20","J6S","no","no","noparty",3,2,"55to64",""
"137","QC",410160591,NA,"FRENCH10695",10695,"y","hco_thankyou.php",NA,"18/03/2014","20:28:53","20:44:48","Mozilla/5.0 (Windows NT 5.1; rv:27.0) Gecko/20100101 Firefox/27.0",11,"FRENCH",1143,54321,2,2,10,3,3,10,7,7,5,8,3,6,5,2,10,4,2,6,6,2,6,1,3,10,9,3,9,10,7,10,"","","","","","","","","","","30to49",1,NA,NA,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3month",5,NA,3,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,"female","college","morethan20","g2c","no","no","dontknow",4,3,"45to54",""
"138","QC",410153242,NA,"FRENCH10696",10696,"y","hco_thankyou.php",NA,"18/03/2014","20:29:11","20:39:54","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",11,"FRENCH",1144,12345,3,5,8,10,4,10,1,5,1,6,2,8,4,2,1,2,2,8,5,2,10,9,2,9,8,3,8,7,5,8,"","","","","","","","","","","5to9",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",5,NA,3,NA,NA,NA,5,NA,4,NA,5,NA,5,NA,5,NA,5,NA,5,NA,"male","graduate","morethan20","H1X","no","no","green",6,2,"45to54",""
"139","QC",410212019,NA,"FRENCH10697",10697,"y","hco_thankyou.php",NA,"18/03/2014","20:31:08","20:36:20","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",11,"FRENCH",1145,54321,10,7,1,4,2,1,8,3,9,1,7,1,6,2,6,7,7,9,3,3,10,2,2,1,5,2,9,9,2,9,"","","","","","","","","","","none",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",5,NA,3,NA,4,NA,5,NA,5,NA,5,NA,4,NA,5,NA,5,NA,5,NA,"female","bachelors","morethan20","j4b","no","no","liberal",9,2,"35to44",""
"140","QC",410143939,NA,"FRENCH10698",10698,"y","hco_thankyou.php",NA,"18/03/2014","20:32:09","20:44:34","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:27.0) Gecko/20100101 Firefox/27.0",11,"FRENCH",1146,12345,5,6,10,6,6,2,8,6,9,10,6,10,4,6,4,7,7,4,2,8,10,1,7,10,9,7,4,3,8,10,"","","","","","","","checked","","","5to9",1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,1,"","3month",5,NA,5,NA,4,NA,5,NA,5,NA,3,NA,4,NA,5,NA,5,NA,5,NA,"female","bachelors","morethan20","H2R","yes","yes","NDP",3,1,"25to34",""
"141","QC",410081419,NA,"FRENCH10700",10700,"y","hco_thankyou.php",NA,"18/03/2014","20:32:44","20:42:27","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",11,"FRENCH",1148,12345,7,7,8,4,2,5,1,7,10,5,2,10,10,7,10,3,3,10,8,6,8,2,2,10,6,2,8,9,2,9,"","","","","","","","","","","10to29",1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",5,NA,3,NA,5,NA,5,NA,5,NA,4,NA,5,NA,5,NA,5,NA,5,NA,"male","bachelors","morethan20","j9j","no","no","noparty",8,2,"35to44",""
"143","QC",410041556,NA,"FRENCH10701",10701,"y","hco_thankyou.php",NA,"18/03/2014","20:33:57","20:42:05","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",11,"FRENCH",1149,54321,7,8,9,3,8,3,2,2,1,10,4,1,6,2,3,1,10,1,4,2,1,8,8,9,5,2,9,9,2,9,"","","","","","","","","","","5to9",1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2yr",4,NA,3,NA,3,NA,4,NA,3,NA,3,NA,3,NA,3,NA,4,NA,3,NA,"female","college","morethan20","g5y","no","no","dontknow",3,1,"45to54",""
"144","QC",410030387,NA,"FRENCH10702",10702,"y","hco_thankyou.php",NA,"18/03/2014","20:34:45","20:40:11","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",11,"FRENCH",1150,12345,5,2,5,10,7,10,3,3,8,6,2,8,2,2,9,9,2,9,8,3,9,1,3,10,4,2,5,7,7,9,"","","","","","","","","","","10to29",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3month",4,NA,3,NA,4,NA,4,NA,4,NA,4,NA,3,NA,4,NA,4,NA,4,NA,"male","HS","morethan20","h4c","no","no","Bloc",9,1,"45to54",""
"146","QC",410016039,NA,"FRENCH10704",10704,"y","hco_thankyou.php",NA,"18/03/2014","20:36:19","20:41:38","Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET CLR 1.1.4322)",11,"FRENCH",1152,12345,7,7,9,5,2,10,9,2,4,8,3,1,10,7,1,6,2,8,4,2,1,1,7,1,3,3,4,2,2,1,"","","","","","","","","","","5to9",1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",3,NA,5,NA,4,NA,5,NA,5,NA,5,NA,3,NA,5,NA,5,NA,5,NA,"female","college","morethan20","G0L","no","no","noparty",4,5,"25to34",""
"150","QC",410060814,NA,"FRENCH10708",10708,"y","hco_thankyou.php",NA,"18/03/2014","20:43:32","20:53:15","Mozilla/5.0 (iPod; CPU iPhone OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3",11,"FRENCH",1156,12345,4,2,6,10,1,6,2,2,9,3,3,10,7,5,9,8,3,6,6,2,6,1,1,10,9,2,9,5,2,6,"","","","","","","","","","","5to9",NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3month",3,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,"male","somepost","morethan20","J4l","no","no","noresponse",6,3,"35to44",""
"151","QC",410150477,NA,"FRENCH10709",10709,"y","hco_thankyou.php",NA,"18/03/2014","20:49:02","20:57:16","Mozilla/5.0 (Linux; Android 4.4.2; SGH-I337M Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.166 Mobile Safari/537.36",11,"FRENCH",1157,54321,10,7,4,1,7,10,4,2,4,3,3,4,7,7,9,8,3,9,2,2,9,6,2,8,5,2,9,9,2,3,"","","","","","","","","","","lessthan5",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",5,NA,2,NA,3,NA,5,NA,5,NA,4,NA,3,NA,5,NA,5,NA,5,NA,"female","bachelors","morethan20","j6k","no","no","NDP",5,3,"25to34",""
"152","QC",410145475,NA,"FRENCH10710",10710,"y","hco_thankyou.php",NA,"18/03/2014","20:50:19","20:55:28","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",11,"FRENCH",1158,12345,8,1,6,10,1,6,3,8,10,6,3,6,4,1,6,9,7,9,7,7,9,2,10,1,5,10,6,1,3,10,"","","","","","","","","","","none",1,NA,1,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",3,NA,3,NA,3,NA,3,NA,3,NA,4,NA,3,NA,4,NA,4,NA,4,NA,"female","HS","morethan20","J0N","no","no","dontknow",4,2,"35to44",""
"155","QC",410000775,NA,"FRENCH10713",10713,"y","hco_thankyou.php",NA,"18/03/2014","20:58:37","21:05:42","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",11,"FRENCH",1161,54321,9,3,9,8,3,9,10,7,1,2,2,1,6,3,8,4,2,1,3,3,10,5,2,9,1,3,1,7,7,9,"","","","","","","","","","","none",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2yr",5,NA,5,NA,4,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,"male","HS","morethan20","J0H","no","no","CPC",4,2,"45to54",""
"156","QC",410023268,NA,"FRENCH10714",10714,"y","hco_thankyou.php",NA,"18/03/2014","20:59:12","21:07:25","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",11,"FRENCH",1162,12345,1,10,1,10,10,6,5,10,6,9,3,9,4,2,6,6,8,6,7,8,7,8,8,6,3,10,5,2,10,1,"","","","","","","","","","","lessthan5",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",2,NA,1,NA,2,NA,3,NA,3,NA,4,NA,4,NA,2,NA,3,NA,2,NA,"male","college","morethan20","J0B","no","no","dontknow",3,1,"45to54",""
"160","QC",410147952,NA,"FRENCH10718",10718,"y","hco_thankyou.php",NA,"18/03/2014","21:06:47","21:14:20","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",11,"FRENCH",1166,12345,1,7,10,4,5,4,5,5,9,3,3,4,8,3,9,10,7,4,7,7,4,6,7,6,9,7,4,2,8,9,"","","","","","","","","","","5to9",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3month",4,NA,5,NA,3,NA,5,NA,4,NA,4,NA,3,NA,4,NA,5,NA,5,NA,"female","college","morethan20","j0g","no","yes","noresponse",6,3,"45to54",""
"162","QC",410153278,NA,"FRENCH10720",10720,"y","hco_thankyou.php",NA,"18/03/2014","21:09:19","21:16:34","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",11,"FRENCH",1168,12345,2,2,1,1,3,7,3,5,8,6,2,7,7,4,7,4,2,6,9,9,7,10,4,1,5,2,9,8,6,8,"","","","","","","","","","","none",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",3,NA,3,NA,3,NA,3,NA,3,NA,NA,NA,3,NA,4,NA,4,NA,3,NA,"female","college","morethan20","H7X","no","no","dontknow",6,4,"45to54","Je sais que le gouvernement fédéral est pas tres préoccopé par l'environnement"
"164","QC",410157726,NA,"FRENCH10722",10722,"y","hco_thankyou.php",NA,"18/03/2014","21:16:21","21:27:28","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",11,"FRENCH",1170,12345,9,2,9,8,3,1,10,7,10,2,2,9,6,3,6,4,2,1,3,3,10,5,2,9,1,3,1,7,7,9,"","","","","","","","","","","none",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",5,NA,3,NA,4,NA,4,NA,4,NA,4,NA,3,NA,5,NA,5,NA,4,NA,"female","college","morethan20","G1B","no","no","noresponse",9,3,"35to44",""
"168","QC",410217024,NA,"FRENCH10726",10726,"y","hco_thankyou.php",NA,"18/03/2014","21:35:42","21:48:06","Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; InfoPath.1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)",11,"FRENCH",1174,12345,6,7,8,2,1,9,7,7,9,9,7,9,3,3,5,5,6,9,4,6,5,10,7,10,1,3,5,8,3,9,"","","","","","","","","","","none",1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3month",5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,4,NA,5,NA,5,NA,5,NA,"male","bachelors","morethan20","J0K","no","no","noresponse",3,3,"35to44",""
"170","QC",410217438,NA,"FRENCH10728",10728,"y","hco_thankyou.php",NA,"18/03/2014","21:39:45","21:46:45","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",11,"FRENCH",1176,12345,3,4,8,1,10,7,7,4,8,6,2,8,4,4,6,10,4,6,5,2,9,8,3,8,2,2,8,9,4,9,"","","","","","checked","","","","","none",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","Never",3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,5,NA,5,NA,5,NA,"female","HS","morethan20","g1e","no","no","NDP",1,2,"25to34",""
"173","QC",410040536,NA,"FRENCH10731",10731,"y","hco_thankyou.php",NA,"18/03/2014","21:49:12","21:58:58","Mozilla/5.0 (iPad; CPU OS 7_1 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D167 Safari/9537.53",11,"FRENCH",1179,54321,9,2,9,6,3,8,10,10,7,3,3,10,5,2,9,2,2,9,1,10,7,4,2,5,8,3,9,7,7,9,"","","","","","","","checked","","","5to9",1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",5,NA,3,NA,3,NA,5,NA,5,NA,4,NA,5,NA,4,NA,5,NA,5,NA,"female","bachelors","morethan20","J7V","no","yes","dontknow",7,3,"45to54",""
"174","QC",410088275,NA,"FRENCH10732",10732,"y","hco_thankyou.php",NA,"18/03/2014","21:49:18","22:00:46","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",11,"FRENCH",1180,12345,10,4,1,6,7,8,7,4,9,8,3,9,3,3,8,1,7,10,9,7,9,2,2,9,5,2,9,4,2,5,"","","","","","","","","","","morethan100",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3month",5,NA,3,NA,5,NA,4,NA,5,NA,4,NA,2,NA,5,NA,5,NA,4,NA,"male","somepost","morethan20","J6Y","no","no","noparty",6,3,"45to54",""
"178","QC",410020222,NA,"FRENCH10736",10736,"y","hco_thankyou.php",NA,"18/03/2014","22:01:29","22:09:36","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",11,"FRENCH",1184,12345,6,2,7,5,2,9,10,6,1,3,3,5,1,3,7,8,6,9,9,2,9,7,8,9,4,2,5,2,2,9,"","","","","","","","","","","none",1,1,NA,NA,1,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",5,NA,1,NA,4,NA,4,NA,5,NA,3,NA,4,NA,4,NA,5,NA,4,NA,"male","graduate","morethan20","g3j","no","yes","CPC",5,3,"45to54",""
"180","QC",410036370,NA,"FRENCH10738",10738,"y","hco_thankyou.php",NA,"18/03/2014","22:03:56","22:11:19","Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)",11,"FRENCH",1186,12345,1,7,1,7,7,9,6,2,8,4,2,1,10,7,1,5,2,9,8,3,1,2,2,1,9,2,9,3,3,8,"","","","","","","","","","","lessthan5",NA,NA,NA,NA,NA,NA,NA,NA,1,"assis sur la plage",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",5,NA,2,NA,3,NA,5,NA,4,NA,3,NA,3,NA,5,NA,5,NA,4,NA,"female","college","morethan20","G0R","no","no","dontknow",4,5,"35to44",""
"183","QC",410023435,NA,"FRENCH10741",10741,"y","hco_thankyou.php",NA,"18/03/2014","22:18:42","22:24:38","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",11,"FRENCH",1189,54321,2,2,10,10,7,10,5,2,10,3,3,10,4,2,4,9,2,4,8,3,8,1,3,10,7,7,8,6,2,8,"","","","","","","","","","","none",1,1,NA,NA,NA,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3month",5,NA,4,NA,4,NA,5,NA,5,NA,3,NA,4,NA,5,NA,3,NA,4,NA,"female","HS","morethan20","j2k","no","no","dontknow",1,4,"35to44",""
"184","QC",410020677,NA,"FRENCH10742",10742,"y","hco_thankyou.php",NA,"18/03/2014","22:22:49","22:28:11","Mozilla/5.0 (Windows NT 6.0; rv:27.0) Gecko/20100101 Firefox/27.0",11,"FRENCH",1190,12345,6,6,3,5,6,2,3,10,4,2,9,2,9,9,3,4,6,2,1,1,3,8,9,3,10,6,7,7,9,7,"","","","","","","","","","","5to9",1,1,NA,NA,NA,NA,1,NA,NA,"",NA,NA,NA,1,NA,NA,NA,NA,NA,"","atleast1wk",4,NA,4,NA,4,NA,5,NA,4,NA,5,NA,5,NA,5,NA,5,NA,5,NA,"male","college","morethan20","J1L","no","no","green",5,3,"35to44","Bon sondage"
"185","QC",410179097,NA,"FRENCH10743",10743,"y","hco_thankyou.php",NA,"18/03/2014","22:28:28","22:35:30","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",11,"FRENCH",1191,54321,1,3,1,9,3,9,5,2,9,4,2,1,10,7,1,6,2,7,3,3,4,7,5,9,8,3,1,2,2,1,"checked","","","","checked","","","","","","none",1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",4,NA,3,NA,3,NA,4,NA,4,NA,5,NA,4,NA,5,NA,5,NA,NA,NA,"male","bachelors","morethan20","j5y","no","no","NDP",6,3,"35to44",""
"186","QC",410030431,NA,"FRENCH10744",10744,"y","hco_thankyou.php",NA,"18/03/2014","22:28:56","22:39:06","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",11,"FRENCH",1192,12345,5,2,9,8,3,9,9,2,9,2,2,9,4,2,6,1,7,5,7,7,9,10,7,10,3,3,5,6,2,6,"","","","","","","","","","","none",1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",4,NA,1,NA,4,NA,3,NA,4,NA,3,NA,2,NA,5,NA,5,NA,3,NA,"female","college","morethan20","J2C","no","no","NDP",2,2,"25to34",""
"188","QC",410148493,NA,"FRENCH10746",10746,"y","hco_thankyou.php",NA,"18/03/2014","22:34:09","22:41:27","Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",11,"FRENCH",1194,12345,6,7,3,5,6,9,7,7,9,1,7,1,8,8,9,3,8,5,4,6,1,9,7,9,2,8,9,10,7,1,"","","","","","","","","","","none",1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3month",4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,5,NA,5,NA,"female","somepost","morethan20","J0L","no","no","CPC",4,4,"25to34",""
"190","QC",410156036,NA,"FRENCH10748",10748,"y","hco_thankyou.php",NA,"18/03/2014","22:36:19","22:44:03","Mozilla/5.0 (Linux; U; Android 2.3.3; fr-ca; GT-I9000M Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1",11,"FRENCH",1196,12345,3,3,10,2,1,10,4,1,5,6,2,8,1,3,5,8,1,9,7,7,5,10,1,10,9,3,9,5,2,10,"","","","","","","","","","","lessthan5",1,1,NA,NA,1,NA,NA,NA,NA,"",NA,NA,NA,1,NA,NA,NA,NA,NA,"","7to11yr",3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,"female","somepost","morethan20","j2x","no","no","NDP",4,4,"35to44",""
