"","sample","subsid","pid","name","id","completed","user_last_section","ip","date","time_in","time_out","user_browser","user_setid_dce1","user_language","user_combo","IMP_Order","DCE_pg1","DCE_least1","DCE_most1","DCE_pg2","DCE_least2","DCE_most2","DCE_pg3","DCE_least3","DCE_most3","DCE_pg4","DCE_least4","DCE_most4","DCE_pg5","DCE_least5","DCE_most5","DCE_pg6","DCE_least6","DCE_most6","DCE_pg7","DCE_least7","DCE_most7","DCE_pg8","DCE_least8","DCE_most8","DCE_pg9","DCE_least9","DCE_most9","DCE_pg10","DCE_least10","DCE_most10","DCEclick_1","DCEclick_2","DCEclick_3","DCEclick_4","DCEclick_5","DCEclick_6","DCEclick_7","DCEclick_8","DCEclick_9","DCEclick_10","ocean_days","rec_swim","rec_boat","rec_surf","rec_scuba","rec_powerboat","rec_recfish","rec_sightsee","rec_none","rec_other","rec_specify","jobs_comfish","jobs_aquaculture","jobs_firstnations","jobs_tourism","jobs_transport","jobs_port","jobs_govt","jobs_none","jobs_other","jobs_specify","seafood_eat","foodprovision_general","foodprovision_xx","aboriginalneeds_general","aboriginalneeds_xx","nonfood_general","nonfood_xx","carbonstorage_general","carbonstorage_xx","coastalprotection_general","coastalprotection_xx","coastallivelihood_general","coastallivelihood_xx","tourismrec_general","tourismrec_xx","icons_general","icons_xx","cleanwater_general","cleanwater_xx","biodiversity_general","biodiversity_xx","demoone_gender","demoone_education","demotwo_livedCanada","demotwo_fsa","envr_org","envr_protest","political_party","demothree_income","demothree_householdsize","demothree_age","comments","zeros","NAs","data2$repeated"
"102","BC","410316814",NA,"English116",116,"y","hco_thankyou.php",NA,"05/03/2014","18:36:40","18:43:20","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",NA,"English",2101,12345,9,2,9,4,2,1,7,8,9,10,7,1,6,2,6,3,3,5,2,2,1,8,3,1,5,2,5,1,3,1,"","","","","","","","","","","morethan100",NA,NA,NA,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",5,NA,3,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,"male","graduate","morethan20","v9b","no","no","noparty",9,"3","65plus","",0,0,0
"103","BC","410055334",NA,"English117",117,"y","hco_thankyou.php",NA,"05/03/2014","18:36:51","18:46:12","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",NA,"English",2102,54321,4,2,6,10,7,6,1,7,10,5,2,9,6,7,6,9,7,9,7,7,9,3,3,8,8,3,9,2,2,9,"","","","","","","","","","","morethan100",NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",4,NA,2,NA,3,NA,3,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,"male","HS","morethan20","v1x","no","no","CPC",3,"3","65plus","",0,0,0
"104","BC","410037700",NA,"English118",118,"y","hco_thankyou.php",NA,"05/03/2014","18:38:16","18:47:39","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",NA,"English",2103,12345,1,7,1,9,7,4,3,3,10,2,2,1,4,2,1,10,7,1,8,3,9,5,2,10,7,7,9,6,7,6,"","","","","","","","","","","50to100",1,NA,NA,NA,1,1,NA,NA,1,"Hanging out on the beach",NA,NA,NA,NA,NA,NA,NA,NA,1,"Environmental monitoring of habitat","atleast1wk",5,NA,4,NA,3,NA,5,NA,4,NA,5,NA,3,NA,5,NA,5,NA,5,NA,"female","college","morethan20","V9R","yes","yes","noparty",3,"1","25to34","",0,0,0
"105","BC","410216185",NA,"English119",119,"y","hco_thankyou.php",NA,"05/03/2014","18:38:33","18:47:00","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",NA,"English",2104,54321,10,7,10,7,7,9,8,3,9,3,3,10,9,2,9,2,2,9,6,2,8,5,2,9,1,3,10,4,2,4,"","","","","","","","","","","none",1,1,NA,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",4,NA,2,NA,3,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,"female","somepost","morethan20","V1L","no","no","green",5,"2","55to64","",0,0,0
"106","BC","410320246",NA,"English121",121,"y","hco_thankyou.php",NA,"05/03/2014","18:39:16","19:01:46","Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B350 Safari/8536.25",NA,"English",2106,54321,5,2,9,2,2,1,10,7,4,9,7,4,4,2,4,1,7,1,7,7,9,3,3,4,6,7,3,8,6,9,"","","","","","","","","","","none",1,NA,NA,1,NA,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",5,NA,2,NA,4,NA,5,NA,5,NA,5,NA,4,NA,5,NA,5,NA,5,NA,"female","somepost","morethan20","T6j","no","no","noresponse",8,"4","45to54","",0,0,0
"107","BC","410110712",NA,"English120",120,"y","hco_thankyou.php",NA,"05/03/2014","18:38:55","18:50:21","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; MATP; MATP; VER#7C#80836765506745484872484871; rv:11.0) like Gecko",NA,"English",2105,12345,7,7,9,10,4,1,4,2,1,8,3,6,5,2,10,1,7,1,3,3,5,9,2,4,6,2,6,2,10,1,"","","","","checked","","","checked","checked","","10to29",NA,NA,NA,NA,1,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",4,NA,3,NA,3,NA,4,NA,4,NA,4,NA,4,NA,4,NA,5,NA,4,NA,"male","college","morethan20","V9H","no","no","noresponse",9,"2","65plus","I feel all 10 questions are of importance. There is no unimportant answer.",0,0,0
"109","BC","410338050",NA,"English123",123,"y","hco_thankyou.php",NA,"05/03/2014","18:39:41","18:49:04","Mozilla/5.0 (Windows NT 6.1; rv:27.0) Gecko/20100101 Firefox/27.0",NA,"English",2108,54321,4,6,1,3,3,4,6,7,6,7,7,9,8,3,9,1,3,1,2,10,1,9,7,9,10,7,1,5,10,9,"","","","","","","","","","","none",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","Never",4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,"female","somepost","morethan20","V2P","no","no","CPC",1,"1","65plus","",0,0,0
"110","BC","410271813",NA,"English124",124,"y","hco_thankyou.php",NA,"05/03/2014","18:40:14","18:44:52","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",NA,"English",2109,12345,8,3,1,3,3,5,10,7,1,2,2,1,1,3,1,7,7,9,5,2,5,6,2,6,9,2,9,4,2,1,"","","","","","","","","","","none",1,NA,NA,NA,NA,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3month",5,NA,1,NA,3,NA,5,NA,5,NA,4,NA,5,NA,5,NA,5,NA,5,NA,"female","college","morethan20","v4t","no","no","dontknow",5,"2","25to34","",0,0,0
"111","BC","410339677",NA,"English125",125,"y","hco_thankyou.php",NA,"05/03/2014","18:43:02","18:51:49","Mozilla/5.0 (iPad; CPU OS 7_0_6 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B651 Safari/9537.53",NA,"English",2110,54321,1,3,10,3,3,10,4,5,6,6,3,6,9,3,9,10,4,10,2,8,10,5,5,10,8,3,9,7,5,9,"","","","","","","","","","","30to49",1,1,1,1,1,1,1,NA,1,"Commuting",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3month",5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,"male","graduate","morethan20","V1l","yes","no","green",4,"2","55to64","",0,0,1
"112","BC","410026093",NA,"English126",126,"y","hco_thankyou.php",NA,"05/03/2014","18:43:03","18:50:03","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",NA,"English",2111,12345,9,2,9,5,2,9,10,4,6,7,4,9,1,3,1,6,2,8,3,4,5,2,2,9,4,2,5,8,3,9,"","","","","","","","","","","10to29",NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",3,NA,2,NA,2,NA,3,NA,3,NA,3,NA,4,NA,5,NA,5,NA,5,NA,"male","college","morethan20","V1S","no","no","noresponse",3,"1","45to54","",0,0,0
"113","BC","410136595",NA,"English127",127,"y","hco_thankyou.php",NA,"05/03/2014","18:43:21","18:50:54","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",NA,"English",2112,54321,1,7,1,8,8,9,9,7,9,4,2,1,2,8,10,10,7,10,3,8,10,7,7,9,6,7,6,5,2,10,"","","","","","","","","","","lessthan5",NA,NA,NA,NA,NA,NA,NA,NA,1,"crabbing",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",5,NA,4,NA,5,NA,5,NA,5,NA,5,NA,4,NA,5,NA,5,NA,5,NA,"male","graduate","morethan20","V8Y","no","no","liberal",4,"2","65plus","",0,0,0
"114","BC","410334649",NA,"English128",128,"y","hco_thankyou.php",NA,"05/03/2014","18:43:55","18:53:02","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",NA,"English",2113,12345,8,3,8,2,2,8,6,2,8,9,2,9,4,2,4,5,2,9,1,3,10,10,7,10,3,3,10,7,7,8,"","","","","","","","","checked","","50to100",1,1,NA,NA,NA,1,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",5,NA,2,NA,4,NA,5,NA,5,NA,4,NA,4,NA,5,NA,5,NA,5,NA,"female","bachelors","morethan20","V5L","no","no","CPC",7,"3","55to64","",0,0,0
"115","BC","410321630",NA,"English129",129,"y","hco_thankyou.php",NA,"05/03/2014","18:46:15","18:56:54","Mozilla/5.0 (iPad; CPU OS 7_0_3 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B511 Safari/9537.53",NA,"English",2114,54321,3,3,5,4,2,5,6,3,8,8,3,9,2,2,9,5,2,9,10,7,1,9,3,9,1,3,5,7,7,9,"","","","","","","","","","","none",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",5,NA,3,NA,3,NA,4,NA,5,NA,3,NA,3,NA,5,NA,5,NA,5,NA,"female","HS","morethan20","V1C","no","no","noparty",4,"3","55to64","",0,0,0
"116","BC","410068712",NA,"English130",130,"y","hco_thankyou.php",NA,"05/03/2014","18:47:40","18:54:17","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",NA,"English",2115,12345,2,2,9,4,2,5,3,3,8,7,7,9,6,2,8,1,3,5,5,2,9,10,6,10,8,3,9,9,2,9,"","","","","","","","","","","5to9",1,NA,NA,NA,NA,NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",5,NA,4,NA,3,NA,4,NA,5,NA,4,NA,4,NA,5,NA,5,NA,5,NA,"female","graduate","morethan20","V4T","no","no","dontknow",4,"3","55to64","",0,0,0
"117","BC","410102334",NA,"English131",131,"y","hco_thankyou.php",NA,"05/03/2014","18:48:28","18:57:14","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.74.9 (KHTML, like Gecko) Version/7.0.2 Safari/537.74.9",NA,"English",2116,54321,4,2,1,3,3,5,8,3,1,9,7,9,5,2,5,10,7,1,2,2,1,6,7,6,7,7,5,1,7,1,"","","","","","","","","","","morethan100",1,1,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",5,NA,2,NA,3,NA,5,NA,5,NA,5,NA,2,NA,5,NA,5,NA,5,NA,"male","HS","morethan20","V9P","no","yes","CPC",4,"2","65plus","Meaningful questions.",0,0,0
"118","BC","410108122",NA,"English132",132,"y","hco_thankyou.php",NA,"05/03/2014","18:49:15","20:11:32","Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0; MALC)",NA,"English",2117,12345,4,1,6,3,3,4,6,3,6,7,7,9,8,3,9,1,3,5,2,1,9,9,3,4,10,1,4,5,2,6,"","","","","","","","","","","morethan100",1,NA,NA,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","7to11yr",3,NA,3,NA,3,NA,4,NA,4,NA,4,NA,4,NA,4,NA,5,NA,5,NA,"female","somepost","morethan20","V3A","no","no","dontknow",6,"2","25to34","",0,0,0
"119","BC","410258561",NA,"English133",133,"y","hco_thankyou.php",NA,"05/03/2014","18:49:22","18:56:05","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",NA,"English",2118,54321,8,3,1,3,3,10,10,4,1,2,2,1,1,3,1,7,5,9,5,2,9,6,2,8,9,2,9,4,2,1,"","","","","","","","","","","lessthan5",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",4,NA,3,NA,3,NA,4,NA,4,NA,4,NA,4,NA,4,NA,3,NA,4,NA,"male","bachelors","morethan20","v3j","no","no","CPC",5,"2","65plus","",0,0,0
"120","BC","410119001",NA,"English134",134,"y","hco_thankyou.php",NA,"05/03/2014","18:50:06","19:05:31","Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)",NA,"English",2119,12345,1,3,1,3,3,5,4,2,1,6,3,6,9,3,9,10,4,1,2,2,1,5,2,6,8,3,1,7,4,9,"","","","","","","","","","","5to9",NA,NA,NA,NA,NA,NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",4,NA,2,NA,3,NA,4,NA,4,NA,4,NA,4,NA,4,NA,5,NA,4,NA,"male","college","morethan20","V1C","no","no","liberal",5,"2","65plus","",0,0,0
"121","BC","410075799",NA,"English135",135,"y","hco_thankyou.php",NA,"05/03/2014","18:51:48","19:05:10","Mozilla/5.0 (PlayBook; U; RIM Tablet OS 2.1.0; en-US) AppleWebKit/536.2+ (KHTML, like Gecko) Version/7.2.1.0 Safari/536.2+",NA,"English",2120,54321,9,3,9,5,6,9,10,7,10,7,7,9,1,3,5,6,3,8,3,3,5,2,1,9,4,6,5,8,3,9,"","","","","","","","","","","lessthan5",NA,NA,NA,NA,1,NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3month",4,NA,4,NA,2,NA,5,NA,5,NA,4,NA,4,NA,5,NA,5,NA,5,NA,"male","somepost","morethan20","V2V2S8","dontknow","no","green",2,"3","65plus","Cancel ALL oil pipelines to our oceans and cut all oil freighter traffic off our coastlines",0,0,0
"122","BC","410337472",NA,"English136",136,"y","hco_thankyou.php",NA,"05/03/2014","18:54:04","19:01:37","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",NA,"English",2121,12345,1,7,1,8,8,1,9,7,9,4,5,1,2,8,1,10,7,1,3,8,4,7,7,9,6,8,6,5,5,9,"","","","","","","","","","","10to29",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3month",5,NA,3,NA,4,NA,5,NA,5,NA,5,NA,4,NA,4,NA,5,NA,5,NA,"female","HS","morethan20","V8V","no","no","green",3,"1","55to64","",0,0,0
"123","BC","410339487",NA,"English137",137,"y","hco_thankyou.php",NA,"05/03/2014","18:55:37","19:22:39","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",NA,"English",2122,54321,8,3,9,2,2,9,6,2,8,9,2,9,4,2,4,5,2,9,1,3,10,10,7,4,3,3,4,7,7,9,"","","","","","","","","","","none",NA,NA,NA,NA,NA,NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",5,NA,1,NA,3,NA,5,NA,5,NA,3,NA,3,NA,5,NA,5,NA,4,NA,"female","college","morethan20","v2b","no","no","dontknow",1,"3","25to34","",0,0,0
"124","BC","410109684",NA,"English138",138,"y","hco_thankyou.php",NA,"05/03/2014","18:55:40","19:01:54","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3; .NET4.0C; .NET4.0E; BOIE9;ENCA)",NA,"English",2123,12345,3,3,10,4,4,1,6,3,8,8,3,1,2,8,10,5,6,10,10,4,10,9,3,9,1,3,10,7,4,9,"","","","","","","","","","","lessthan5",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",5,NA,5,NA,4,NA,4,NA,5,NA,4,NA,5,NA,5,NA,5,NA,5,NA,"male","college","morethan20","V5V","yes","yes","green",4,"2","55to64","",0,0,1
"125","BC","410088936",NA,"English139",139,"y","hco_thankyou.php",NA,"05/03/2014","18:56:24","19:01:52","Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko",NA,"English",2124,54321,2,8,9,4,6,1,3,10,5,7,4,9,6,3,6,1,5,1,5,2,9,10,4,1,8,8,9,9,2,9,"","","","","","","","","","","morethan100",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",5,NA,5,NA,3,NA,3,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,"male","college","morethan20","V3W","no","no","noparty",8,"1","65plus","no",0,0,0
"126","BC","410189239",NA,"English140",140,"y","hco_thankyou.php",NA,"05/03/2014","18:56:45","20:21:02","Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; InfoPath.3; MS-RTC LM 8; .NET4.0C; CognosRCP)",NA,"English",2125,12345,4,2,1,3,3,5,8,8,9,9,2,9,5,2,9,10,7,1,2,2,1,6,2,6,7,8,9,1,7,1,"","","","","","","","","","","none",1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",3,NA,1,NA,2,NA,3,NA,3,NA,3,NA,4,NA,2,NA,4,NA,4,NA,"female","bachelors","morethan20","v6v","no","no","noresponse",4,"1","25to34","",0,0,0
"127","BC","410134680",NA,"English141",141,"y","hco_thankyou.php",NA,"05/03/2014","18:56:56","19:06:14","Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; MAARJS; rv:11.0) like Gecko",NA,"English",2126,54321,4,2,6,3,8,5,6,3,6,7,8,9,8,3,9,1,3,5,2,8,10,9,3,9,10,7,6,5,2,10,"","","","","","","","","","","10to29",1,NA,NA,NA,NA,NA,NA,NA,NA,"walking along the seashore",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",4,NA,3,NA,4,NA,5,NA,4,NA,4,NA,4,NA,4,NA,5,NA,5,NA,"female","bachelors","morethan20","V4N","yes","yes","liberal",3,"1","65plus","",0,0,0
"128","BC","410278339",NA,"English142",142,"y","hco_thankyou.php",NA,"05/03/2014","18:59:35","19:16:41","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",NA,"English",2127,12345,8,3,6,3,3,5,10,10,1,2,2,9,1,3,5,7,7,8,5,2,5,6,2,8,9,3,9,4,2,1,"","","","","","","","","","","10to29",1,NA,NA,NA,1,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",4,NA,3,NA,3,NA,4,NA,5,NA,5,NA,5,NA,5,NA,5,NA,4,NA,"female","HS","morethan20","V0R","no","no","green",1,"1","65plus","",0,0,0
"129","BC","410193070",NA,"English143",143,"y","hco_thankyou.php",NA,"05/03/2014","19:00:23","19:07:46","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",NA,"English",2128,54321,10,1,10,6,2,6,5,2,0,2,2,9,3,3,5,4,2,5,1,3,5,9,2,9,8,3,9,7,7,9,"","","","","","","","","","","10to29",1,NA,NA,1,NA,NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3month",4,NA,1,NA,2,NA,3,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,"female","college","morethan20","V8Z","no","no","dontknow",5,"4","45to54","",1,0,0
"130","BC","410093443",NA,"English144",144,"y","hco_thankyou.php",NA,"05/03/2014","19:00:44","19:13:14","Mozilla/5.0 (iPad; CPU OS 7_0_6 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B651 Safari/9537.53",NA,"English",2129,12345,3,3,8,8,3,8,1,3,5,4,2,5,10,10,1,7,7,5,6,2,8,9,2,9,2,2,9,5,2,9,"","","","","","","","","","","10to29",1,1,NA,NA,1,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",5,NA,2,NA,3,NA,4,NA,5,NA,4,NA,4,NA,5,NA,5,NA,5,NA,"female","HS","morethan20","V9l","no","no","NDP",9,"2","65plus","",0,0,0
"131","BC","410320584",NA,"English145",145,"y","hco_thankyou.php",NA,"05/03/2014","19:02:18","19:09:50","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",NA,"English",2130,54321,8,3,1,4,2,6,5,5,10,9,9,4,10,7,6,3,8,3,2,8,0,7,7,9,6,7,2,1,5,7,"","","","","","","","","","","10to29",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","7to11yr",3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,"male","college","morethan20","v9b","no","no","noresponse",9,"2","55to64","",1,0,0
"132","BC","410211123",NA,"English146",146,"y","hco_thankyou.php",NA,"05/03/2014","19:02:55","19:08:32","Mozilla/5.0 (Windows NT 6.1; rv:27.0) Gecko/20100101 Firefox/27.0",NA,"English",2131,12345,4,2,6,10,4,1,1,3,1,2,2,9,7,4,9,3,3,5,6,2,6,9,2,9,5,2,9,8,3,1,"","","","","","","","","","","lessthan5",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",4,NA,2,NA,3,NA,4,NA,4,NA,4,NA,4,NA,4,NA,5,NA,4,NA,"male","graduate","morethan20","V2C","no","no","noresponse",9,"","55to64","",0,0,0
"135","BC","410125094",NA,"English149",149,"y","hco_thankyou.php",NA,"05/03/2014","19:04:16","19:13:12","Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko",NA,"English",2134,54321,2,2,10,8,3,9,10,7,10,1,3,10,5,5,9,6,3,8,4,2,1,9,3,9,7,7,9,3,3,10,"","","","","","","","","","","morethan100",NA,NA,NA,NA,NA,NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3month",5,NA,4,NA,4,NA,5,NA,5,NA,4,NA,4,NA,5,NA,5,NA,5,NA,"female","bachelors","morethan20","v9n","dontknow","yes","noparty",5,"1","65plus","",0,0,1
"136","BC","410240902",NA,"English150",150,"y","hco_comments.php",NA,"05/03/2014","19:04:49","19:21:59","Mozilla/5.0 (Windows NT 6.2; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",NA,"English",2135,12345,8,3,9,9,3,9,2,2,9,1,3,1,5,2,9,6,3,6,10,4,6,4,4,1,3,3,5,7,4,9,"","","","","","","","","","","morethan100",1,1,NA,NA,1,NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3month",5,NA,4,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,"male","graduate","morethan20","V6P","no","no","liberal",4,"1","65plus","",0,0,0
"137","BC","410320872",NA,"English151",151,"y","hco_thankyou.php",NA,"05/03/2014","19:05:24","19:12:46","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",NA,"English",2136,54321,5,2,9,1,3,1,10,10,1,8,3,1,4,2,1,9,2,9,2,2,1,6,2,6,3,3,4,7,7,9,"","","","","","","","","","","10to29",NA,NA,NA,NA,1,NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",5,NA,3,NA,4,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,"female","HS","morethan20","V7G","no","no","CPC",6,"2","55to64","",0,0,0
"139","BC","410203649",NA,"English153",153,"y","hco_thankyou.php",NA,"05/03/2014","19:08:08","19:16:36","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",NA,"English",2138,54321,8,3,6,4,2,6,5,10,6,9,3,7,10,10,6,3,3,10,2,10,1,7,8,7,6,3,6,1,3,1,"","","","","","","","","","","10to29",1,NA,1,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3month",5,NA,3,NA,2,NA,4,NA,4,NA,5,NA,4,NA,4,NA,5,NA,5,NA,"male","graduate","morethan20","V4K","no","no","dontknow",5,"2","65plus","",0,0,0
"140","BC","410174003",NA,"English154",154,"y","hco_thankyou.php",NA,"05/03/2014","19:08:57","19:19:06","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",NA,"English",2139,12345,8,3,9,5,2,6,9,3,4,7,5,9,6,2,6,10,7,1,4,2,6,2,2,1,1,3,1,3,3,8,"","","","","","","","","","","lessthan5",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",5,NA,4,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,"female","HS","morethan20","v4c","no","no","dontknow",2,"2","55to64","",0,0,0
"141","BC","410027226",NA,"English155",155,"y","hco_thankyou.php",NA,"05/03/2014","19:11:12","19:17:19","Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko",NA,"English",2140,54321,6,3,6,4,2,4,9,3,9,7,7,9,5,2,9,8,3,9,3,3,4,2,2,9,1,3,10,10,7,4,"","","","","","","","","","","5to9",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",5,NA,5,NA,3,NA,5,NA,5,NA,NA,NA,5,NA,5,NA,5,NA,5,NA,"male","somepost","morethan20","V7C","no","no","green",3,"1","55to64","",0,0,0
